experiment_name,prior_label,alpha_prior,beta_prior,prior_mean,prior_strength,game,seed,tested_agent_side,opponent_side,outcome_for_tested_agent,winner,tested_agent_discs,opponent_discs,disc_difference,moves_played,passes,runtime_seconds,tested_search_seconds,opponent_search_seconds,tested_decisions,opponent_decisions,tested_seconds_per_decision,opponent_seconds_per_decision,board_rows,board_cols,simulations,weak_tactical_random_move_probability
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,23,22,BLACK,WHITE,win,BLACK,28,8,20,33,1,13.1491328,13.1409251,0.0028606,17,16,0.772995594,0.000178788,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,24,23,WHITE,BLACK,loss,BLACK,17,19,-2,32,0,11.8500363,11.8416473,0.0029736,16,16,0.740102956,0.00018585,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,25,24,BLACK,WHITE,win,BLACK,20,16,4,33,1,13.1800811,13.1718726,0.0028395,17,16,0.774816035,0.000177469,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,26,25,WHITE,BLACK,win,WHITE,20,16,4,32,0,12.1454052,12.136678,0.0030839,16,16,0.758542375,0.000192744,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,27,26,BLACK,WHITE,win,BLACK,21,14,7,31,0,13.1719877,13.1637531,0.0027707,16,15,0.822734569,0.000184713,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,28,27,WHITE,BLACK,win,WHITE,24,12,12,33,1,12.0354117,12.0253661,0.0036905,16,17,0.751585381,0.000217088,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,29,28,BLACK,WHITE,win,BLACK,29,6,23,31,0,13.2453886,13.237307,0.0027623,16,15,0.827331688,0.000184153,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,30,29,WHITE,BLACK,win,WHITE,21,15,6,33,1,12.2389916,12.2304308,0.0031944,16,17,0.764401925,0.000187906,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,31,30,BLACK,WHITE,win,BLACK,33,3,30,33,1,13.2529809,13.244633,0.0029298,17,16,0.779096059,0.000183112,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,32,31,WHITE,BLACK,win,WHITE,21,15,6,32,0,11.8257668,11.8173921,0.003024,16,16,0.738587006,0.000189,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,33,32,BLACK,WHITE,win,BLACK,24,12,12,33,1,13.2991838,13.2909451,0.0028518,17,16,0.7818203,0.000178238,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,34,33,WHITE,BLACK,win,WHITE,22,14,8,32,0,12.1980767,12.1894862,0.0031581,16,16,0.761842888,0.000197381,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,35,34,BLACK,WHITE,win,BLACK,24,12,12,32,0,13.0984091,13.0901805,0.0030317,16,16,0.818136281,0.000189481,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,36,35,WHITE,BLACK,win,WHITE,22,14,8,33,1,11.8697477,11.8609024,0.0030427,16,17,0.7413064,0.000178982,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,37,36,BLACK,WHITE,win,BLACK,23,13,10,32,0,13.0009044,12.9926947,0.0030263,16,16,0.812043419,0.000189144,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,38,37,WHITE,BLACK,win,WHITE,19,17,2,32,0,11.8104098,11.8023135,0.0028998,16,16,0.737644594,0.000181237,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,39,38,BLACK,WHITE,win,BLACK,25,11,14,33,1,13.1500538,13.1418449,0.0027925,17,16,0.7730497,0.000174531,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,40,39,WHITE,BLACK,win,WHITE,20,16,4,32,0,11.86128,11.8526735,0.0030516,16,16,0.740792094,0.000190725,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,41,40,BLACK,WHITE,win,BLACK,19,17,2,32,0,12.6726637,12.6644963,0.003,16,16,0.791531019,0.0001875,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,42,41,WHITE,BLACK,win,WHITE,19,17,2,32,0,11.9722635,11.9638848,0.0030092,16,16,0.7477428,0.000188075,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,43,42,BLACK,WHITE,win,BLACK,21,15,6,33,1,13.3397716,13.3310706,0.0029673,17,16,0.784180624,0.000185456,6,6,400,0.0
