experiment_name,prior_label,alpha_prior,beta_prior,prior_mean,prior_strength,game,seed,tested_agent_side,opponent_side,outcome_for_tested_agent,winner,tested_agent_discs,opponent_discs,disc_difference,moves_played,passes,runtime_seconds,tested_search_seconds,opponent_search_seconds,tested_decisions,opponent_decisions,tested_seconds_per_decision,opponent_seconds_per_decision,board_rows,board_cols,simulations,weak_tactical_random_move_probability
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_5_5,5.0,5.0,0.5,10.0,1,0,BLACK,WHITE,win,BLACK,31,5,26,33,1,12.470139,12.4620593,0.0028655,17,16,0.733062312,0.000179094,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_5_5,5.0,5.0,0.5,10.0,2,1,WHITE,BLACK,win,WHITE,22,14,8,32,0,11.7819251,11.7738439,0.002973,16,16,0.735865244,0.000185813,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_5_5,5.0,5.0,0.5,10.0,3,2,BLACK,WHITE,win,BLACK,22,14,8,33,1,13.3813123,13.3727977,0.0029796,17,16,0.786635159,0.000186225,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_5_5,5.0,5.0,0.5,10.0,4,3,WHITE,BLACK,win,WHITE,20,16,4,33,1,11.6902685,11.6821129,0.0029085,16,17,0.730132056,0.000171088,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_5_5,5.0,5.0,0.5,10.0,5,4,BLACK,WHITE,win,BLACK,35,1,34,35,3,13.088395,13.079777,0.0030217,18,17,0.726654278,0.000177747,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_5_5,5.0,5.0,0.5,10.0,6,5,WHITE,BLACK,win,WHITE,31,5,26,36,4,12.6119328,12.6022106,0.0034952,18,18,0.700122811,0.000194178,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_5_5,5.0,5.0,0.5,10.0,7,6,BLACK,WHITE,win,BLACK,22,14,8,33,1,13.1268986,13.1185136,0.0029753,17,16,0.771677271,0.000185956,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_5_5,5.0,5.0,0.5,10.0,8,7,WHITE,BLACK,win,WHITE,23,13,10,32,0,12.0514397,12.0430829,0.0030743,16,16,0.752692681,0.000192144,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_5_5,5.0,5.0,0.5,10.0,9,8,BLACK,WHITE,loss,WHITE,12,24,-12,32,0,12.8414195,12.8333,0.0028828,16,16,0.80208125,0.000180175,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_5_5,5.0,5.0,0.5,10.0,10,9,WHITE,BLACK,loss,BLACK,17,19,-2,32,0,11.9697113,11.9612517,0.0031352,16,16,0.747578231,0.00019595,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_5_5,5.0,5.0,0.5,10.0,11,10,BLACK,WHITE,win,BLACK,21,15,6,33,1,13.1222316,13.1135859,0.0031934,17,16,0.771387406,0.000199587,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_5_5,5.0,5.0,0.5,10.0,12,11,WHITE,BLACK,loss,BLACK,5,31,-26,33,1,12.2443824,12.2356269,0.0033291,16,17,0.764726681,0.000195829,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_5_5,5.0,5.0,0.5,10.0,13,12,BLACK,WHITE,win,BLACK,21,15,6,32,0,13.2508935,13.2426703,0.0028411,16,16,0.827666894,0.000177569,6,6,400,0.0
