experiment_name,prior_label,alpha_prior,beta_prior,prior_mean,prior_strength,game,seed,tested_agent_side,opponent_side,outcome_for_tested_agent,winner,tested_agent_discs,opponent_discs,disc_difference,moves_played,passes,runtime_seconds,tested_search_seconds,opponent_search_seconds,tested_decisions,opponent_decisions,tested_seconds_per_decision,opponent_seconds_per_decision,board_rows,board_cols,simulations,weak_tactical_random_move_probability
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_2,2.0,2.0,0.5,4.0,1,0,BLACK,WHITE,win,BLACK,29,7,22,35,3,13.7653104,13.7560128,0.0030075,18,17,0.764222933,0.000176912,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_2,2.0,2.0,0.5,4.0,2,1,WHITE,BLACK,win,WHITE,19,17,2,34,2,12.3540981,12.3452,0.003254,17,17,0.726188235,0.000191412,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_2,2.0,2.0,0.5,4.0,3,2,BLACK,WHITE,loss,WHITE,10,26,-16,32,0,13.269085,13.2606864,0.0029831,16,16,0.8287929,0.000186444,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_2,2.0,2.0,0.5,4.0,4,3,WHITE,BLACK,win,WHITE,22,13,9,32,1,12.1680625,12.1592293,0.0032159,16,16,0.759951831,0.000200994,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_2,2.0,2.0,0.5,4.0,5,4,BLACK,WHITE,loss,WHITE,12,24,-12,32,0,13.084623,13.0766185,0.0028671,16,16,0.817288656,0.000179194,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_2,2.0,2.0,0.5,4.0,6,5,WHITE,BLACK,loss,BLACK,8,28,-20,33,1,12.1534403,12.1444208,0.0033078,16,17,0.7590263,0.000194576,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_2,2.0,2.0,0.5,4.0,7,6,BLACK,WHITE,win,BLACK,21,15,6,35,3,13.4453795,13.4368153,0.0029422,18,17,0.746489739,0.000173071,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_2,2.0,2.0,0.5,4.0,8,7,WHITE,BLACK,win,WHITE,28,8,20,32,0,12.2171311,12.2087351,0.0030982,16,16,0.763045944,0.000193637,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_2,2.0,2.0,0.5,4.0,9,8,BLACK,WHITE,win,BLACK,26,10,16,33,1,13.2021516,13.1937977,0.0028622,17,16,0.776105747,0.000178887,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_2_2,2.0,2.0,0.5,4.0,10,9,WHITE,BLACK,win,WHITE,23,13,10,33,1,12.028339,12.0199308,0.0030418,16,17,0.751245675,0.000178929,6,6,400,0.0
