game,pair,thompson_colour,uct_colour,outcome,winner_colour,thompson_discs,uct_discs,disc_difference,actions,passes,match_runtime_seconds,thompson_search_seconds,uct_search_seconds,thompson_decisions,uct_decisions,thompson_seconds_per_decision,uct_seconds_per_decision,thompson_seed,uct_seed
1,1,BLACK,WHITE,THOMPSON_WIN,BLACK,27,9,18,33,1,12.722698,6.697763,6.019595,17,16,0.393986,0.376225,100000,100001
2,1,WHITE,BLACK,THOMPSON_WIN,WHITE,19,17,2,32,0,13.129877,6.334509,6.789865,16,16,0.395907,0.424367,100001,100000
3,2,BLACK,WHITE,UCT_WIN,WHITE,8,28,-20,32,0,13.003484,6.801404,6.196588,16,16,0.425088,0.387287,100002,100003
4,2,WHITE,BLACK,UCT_WIN,BLACK,10,26,-16,32,0,13.105242,6.328578,6.771109,16,16,0.395536,0.423194,100003,100002
5,3,BLACK,WHITE,UCT_WIN,WHITE,5,31,-26,36,4,13.195779,6.91691,6.273081,18,18,0.384273,0.348505,100004,100005
6,3,WHITE,BLACK,UCT_WIN,BLACK,12,24,-12,32,0,13.175786,6.358058,6.812206,16,16,0.397379,0.425763,100005,100004
7,4,BLACK,WHITE,UCT_WIN,WHITE,7,29,-22,34,2,13.080935,6.854113,6.221364,17,17,0.403183,0.365963,100006,100007
8,4,WHITE,BLACK,UCT_WIN,BLACK,17,19,-2,32,0,13.006327,6.289273,6.711693,16,16,0.39308,0.419481,100007,100006
9,5,BLACK,WHITE,THOMPSON_WIN,BLACK,26,10,16,33,1,12.690645,6.645506,6.039865,17,16,0.390912,0.377492,100008,100009
10,5,WHITE,BLACK,UCT_WIN,BLACK,3,33,-30,33,1,12.748736,6.140576,6.60285,16,17,0.383786,0.388403,100009,100008
11,6,BLACK,WHITE,UCT_WIN,WHITE,5,30,-25,32,1,13.210028,6.887455,6.31697,16,16,0.430466,0.394811,100010,100011
12,6,WHITE,BLACK,THOMPSON_WIN,WHITE,23,13,10,32,0,13.124088,6.285937,6.832673,16,16,0.392871,0.427042,100011,100010
13,7,BLACK,WHITE,UCT_WIN,WHITE,4,32,-28,34,2,14.311321,7.452098,6.852987,17,17,0.438359,0.403117,100012,100013
14,7,WHITE,BLACK,DRAW,DRAW,18,18,0,33,1,13.233135,6.38559,6.842037,16,17,0.399099,0.402473,100013,100012
15,8,BLACK,WHITE,THOMPSON_WIN,BLACK,25,11,14,33,1,13.271687,6.960634,6.305383,17,16,0.409449,0.394086,100014,100015
16,8,WHITE,BLACK,UCT_WIN,BLACK,5,31,-26,34,2,13.550885,6.504618,7.040314,17,17,0.382625,0.414136,100015,100014
17,9,BLACK,WHITE,UCT_WIN,WHITE,13,23,-10,32,0,12.989593,6.76532,6.218955,16,16,0.422832,0.388685,100016,100017
18,9,WHITE,BLACK,THOMPSON_WIN,WHITE,19,17,2,34,2,13.577749,6.548914,7.022641,17,17,0.38523,0.413097,100017,100016
19,10,BLACK,WHITE,THOMPSON_WIN,BLACK,28,8,20,33,1,12.954618,6.797514,6.151397,17,16,0.399854,0.384462,100018,100019
20,10,WHITE,BLACK,THOMPSON_WIN,WHITE,21,15,6,32,0,12.689011,6.14641,6.53744,16,16,0.384151,0.40859,100019,100018
21,11,BLACK,WHITE,THOMPSON_WIN,BLACK,20,16,4,32,0,12.81895,6.719965,6.093565,16,16,0.419998,0.380848,100020,100021
22,11,WHITE,BLACK,UCT_WIN,BLACK,7,29,-22,33,1,12.89598,6.213247,6.67726,16,17,0.388328,0.39278,100021,100020
23,12,BLACK,WHITE,UCT_WIN,WHITE,15,21,-6,32,0,12.994037,6.785047,6.203748,16,16,0.424065,0.387734,100022,100023
24,12,WHITE,BLACK,THOMPSON_WIN,WHITE,21,15,6,32,0,13.070605,6.332732,6.732298,16,16,0.395796,0.420769,100023,100022
25,13,BLACK,WHITE,UCT_WIN,WHITE,11,25,-14,33,1,13.113437,6.831543,6.276475,17,16,0.401855,0.39228,100024,100025
26,13,WHITE,BLACK,UCT_WIN,BLACK,4,32,-28,33,1,13.214172,6.362154,6.846176,16,17,0.397635,0.402716,100025,100024
27,14,BLACK,WHITE,UCT_WIN,WHITE,6,30,-24,34,2,13.389814,7.003947,6.380187,17,17,0.411997,0.375305,100026,100027
28,14,WHITE,BLACK,THOMPSON_WIN,WHITE,20,16,4,33,1,12.978649,6.310143,6.663029,16,17,0.394384,0.391943,100027,100026
29,15,BLACK,WHITE,UCT_WIN,WHITE,13,23,-10,32,0,12.940893,6.787868,6.147849,16,16,0.424242,0.384241,100028,100029
30,15,WHITE,BLACK,UCT_WIN,BLACK,8,28,-20,33,1,13.05647,6.281802,6.768971,16,17,0.392613,0.398175,100029,100028
