game,pair,thompson_colour,uct_colour,outcome,winner_colour,thompson_discs,uct_discs,disc_difference,actions,passes,match_runtime_seconds,thompson_search_seconds,uct_search_seconds,thompson_decisions,uct_decisions,thompson_seconds_per_decision,uct_seconds_per_decision,thompson_seed,uct_seed
31,16,BLACK,WHITE,THOMPSON_WIN,BLACK,32,4,28,33,1,13.248613,6.917172,6.325961,17,16,0.406892,0.395373,100030,100031
32,16,WHITE,BLACK,UCT_WIN,BLACK,8,28,-20,33,1,13.208841,6.398264,6.805107,16,17,0.399891,0.4003,100031,100030
33,17,BLACK,WHITE,UCT_WIN,WHITE,11,25,-14,34,2,13.300321,6.945558,6.349086,17,17,0.408562,0.373476,100032,100033
34,17,WHITE,BLACK,UCT_WIN,BLACK,1,25,-24,23,1,12.116015,5.826366,6.284489,11,12,0.52967,0.523707,100033,100032
35,18,BLACK,WHITE,UCT_WIN,WHITE,13,23,-10,32,0,12.841997,6.720278,6.116452,16,16,0.420017,0.382278,100034,100035
36,18,WHITE,BLACK,UCT_WIN,BLACK,14,22,-8,32,0,12.61494,6.077765,6.532072,16,16,0.37986,0.408255,100035,100034
37,19,BLACK,WHITE,UCT_WIN,WHITE,17,19,-2,33,1,13.135182,6.860761,6.268876,17,16,0.403574,0.391805,100036,100037
38,19,WHITE,BLACK,UCT_WIN,BLACK,11,25,-14,32,0,12.938002,6.240099,6.692409,16,16,0.390006,0.418276,100037,100036
39,20,BLACK,WHITE,THOMPSON_WIN,BLACK,20,16,4,32,0,13.214464,6.927039,6.281935,16,16,0.43294,0.392621,100038,100039
40,20,WHITE,BLACK,UCT_WIN,BLACK,8,28,-20,36,4,13.757505,6.598512,7.15263,18,18,0.366584,0.397368,100039,100038
41,21,BLACK,WHITE,UCT_WIN,WHITE,12,24,-12,33,1,12.843817,6.643689,6.194517,17,16,0.390805,0.387157,100040,100041
42,21,WHITE,BLACK,UCT_WIN,BLACK,11,25,-14,32,0,13.040656,6.28527,6.750076,16,16,0.392829,0.42188,100041,100040
43,22,BLACK,WHITE,UCT_WIN,WHITE,14,22,-8,32,0,12.956934,6.786567,6.164963,16,16,0.42416,0.38531,100042,100043
44,22,WHITE,BLACK,THOMPSON_WIN,WHITE,21,15,6,32,0,13.181273,6.368461,6.807515,16,16,0.398029,0.42547,100043,100042
45,23,BLACK,WHITE,THOMPSON_WIN,BLACK,29,7,22,32,0,13.153429,6.872226,6.275764,16,16,0.429514,0.392235,100044,100045
46,23,WHITE,BLACK,UCT_WIN,BLACK,1,35,-34,33,1,13.085944,6.304258,6.776219,16,17,0.394016,0.398601,100045,100044
47,24,BLACK,WHITE,UCT_WIN,WHITE,16,20,-4,32,0,13.081893,6.865583,6.210885,16,16,0.429099,0.38818,100046,100047
48,24,WHITE,BLACK,UCT_WIN,BLACK,13,23,-10,32,0,12.882247,6.195385,6.681551,16,16,0.387212,0.417597,100047,100046
49,25,BLACK,WHITE,UCT_WIN,WHITE,9,27,-18,32,0,13.109447,6.864346,6.23946,16,16,0.429022,0.389966,100048,100049
50,25,WHITE,BLACK,UCT_WIN,BLACK,16,20,-4,33,1,13.190471,6.369404,6.815427,16,17,0.398088,0.400907,100049,100048
51,26,BLACK,WHITE,THOMPSON_WIN,BLACK,21,15,6,32,0,13.228757,6.953645,6.269544,16,16,0.434603,0.391846,100050,100051
52,26,WHITE,BLACK,UCT_WIN,BLACK,14,22,-8,33,1,12.956068,6.23103,6.719656,16,17,0.389439,0.395274,100051,100050
53,27,BLACK,WHITE,THOMPSON_WIN,BLACK,26,10,16,34,2,13.361715,6.99005,6.365796,17,17,0.411179,0.374459,100052,100053
54,27,WHITE,BLACK,THOMPSON_WIN,WHITE,23,13,10,32,0,12.981838,6.267585,6.708535,16,16,0.391724,0.419283,100053,100052
55,28,BLACK,WHITE,THOMPSON_WIN,BLACK,28,8,20,32,0,13.05046,6.784254,6.260916,16,16,0.424016,0.391307,100054,100055
56,28,WHITE,BLACK,UCT_WIN,BLACK,9,27,-18,33,1,12.984741,6.283589,6.695544,16,17,0.392724,0.393856,100055,100054
57,29,BLACK,WHITE,THOMPSON_WIN,BLACK,32,4,28,33,1,12.861668,6.734556,6.121413,17,16,0.39615,0.382588,100056,100057
58,29,WHITE,BLACK,THOMPSON_WIN,WHITE,35,1,34,34,2,13.114876,6.313721,6.795683,17,17,0.371395,0.399746,100057,100056
59,30,BLACK,WHITE,THOMPSON_WIN,BLACK,27,9,18,33,1,13.09782,6.855962,6.236382,17,16,0.403292,0.389774,100058,100059
60,30,WHITE,BLACK,THOMPSON_WIN,WHITE,29,7,22,32,0,13.001564,6.265898,6.730427,16,16,0.391619,0.420652,100059,100058
61,31,BLACK,WHITE,THOMPSON_WIN,BLACK,29,7,22,33,1,12.812055,6.740604,6.066054,17,16,0.396506,0.379128,100060,100061
62,31,WHITE,BLACK,UCT_WIN,BLACK,12,24,-12,32,0,13.113182,6.314852,6.793009,16,16,0.394678,0.424563,100061,100060
63,32,BLACK,WHITE,THOMPSON_WIN,BLACK,29,5,24,31,1,13.311471,6.979003,6.326735,16,15,0.436188,0.421782,100062,100063
64,32,WHITE,BLACK,UCT_WIN,BLACK,17,19,-2,32,0,12.893274,6.219647,6.668384,16,16,0.388728,0.416774,100063,100062
65,33,BLACK,WHITE,UCT_WIN,WHITE,9,27,-18,32,0,12.774276,6.709863,6.059227,16,16,0.419366,0.378702,100064,100065
66,33,WHITE,BLACK,UCT_WIN,BLACK,12,24,-12,33,1,12.990317,6.291353,6.693493,16,17,0.39321,0.393735,100065,100064
67,34,BLACK,WHITE,THOMPSON_WIN,BLACK,23,13,10,32,0,12.920242,6.757846,6.157074,16,16,0.422365,0.384817,100066,100067
68,34,WHITE,BLACK,UCT_WIN,BLACK,7,29,-22,33,1,12.860639,6.197107,6.657734,16,17,0.387319,0.391631,100067,100066
69,35,BLACK,WHITE,THOMPSON_WIN,BLACK,26,10,16,32,0,13.004969,6.807005,6.192497,16,16,0.425438,0.387031,100068,100069
70,35,WHITE,BLACK,UCT_WIN,BLACK,12,24,-12,33,1,13.114961,6.334104,6.775364,16,17,0.395881,0.398551,100069,100068
71,36,BLACK,WHITE,UCT_WIN,WHITE,16,20,-4,32,0,12.83883,6.741076,6.092506,16,16,0.421317,0.380782,100070,100071
72,36,WHITE,BLACK,THOMPSON_WIN,WHITE,26,10,16,32,0,12.957143,6.280647,6.671271,16,16,0.39254,0.416954,100071,100070
73,37,BLACK,WHITE,UCT_WIN,WHITE,14,22,-8,33,1,13.10965,6.853228,6.250832,17,16,0.403131,0.390677,100072,100073
74,37,WHITE,BLACK,THOMPSON_WIN,WHITE,27,9,18,32,0,12.819053,6.174301,6.639496,16,16,0.385894,0.414968,100073,100072
75,38,BLACK,WHITE,DRAW,DRAW,18,18,0,32,0,13.069908,6.830719,6.233783,16,16,0.42692,0.389611,100074,100075
76,38,WHITE,BLACK,THOMPSON_WIN,WHITE,25,11,14,34,2,13.257547,6.433633,6.818217,17,17,0.378449,0.401072,100075,100074
77,39,BLACK,WHITE,THOMPSON_WIN,BLACK,22,14,8,32,0,12.78639,6.739973,6.041158,16,16,0.421248,0.377572,100076,100077
78,39,WHITE,BLACK,THOMPSON_WIN,WHITE,26,10,16,34,2,13.169749,6.36624,6.797937,17,17,0.374485,0.399879,100077,100076
79,40,BLACK,WHITE,THOMPSON_WIN,BLACK,26,10,16,32,0,13.088183,6.869088,6.213435,16,16,0.429318,0.38834,100078,100079
80,40,WHITE,BLACK,UCT_WIN,BLACK,11,25,-14,33,1,12.9969,6.260566,6.73095,16,17,0.391285,0.395938,100079,100078
81,41,BLACK,WHITE,THOMPSON_WIN,BLACK,20,16,4,32,0,13.089517,6.855354,6.22878,16,16,0.42846,0.389299,100080,100081
82,41,WHITE,BLACK,UCT_WIN,BLACK,16,20,-4,32,0,13.399777,6.445523,6.948577,16,16,0.402845,0.434286,100081,100080
83,42,BLACK,WHITE,THOMPSON_WIN,BLACK,19,17,2,34,2,13.286158,6.95689,6.32352,17,17,0.409229,0.371972,100082,100083
84,42,WHITE,BLACK,UCT_WIN,BLACK,14,22,-8,32,0,13.092812,6.310462,6.776975,16,16,0.394404,0.423561,100083,100082
85,43,BLACK,WHITE,UCT_WIN,WHITE,16,20,-4,32,0,13.260672,6.925391,6.329658,16,16,0.432837,0.395604,100084,100085
86,43,WHITE,BLACK,UCT_WIN,BLACK,16,20,-4,33,1,13.107326,6.342111,6.759734,16,17,0.396382,0.397631,100085,100084
87,44,BLACK,WHITE,UCT_WIN,WHITE,13,23,-10,33,1,13.149205,6.899178,6.244505,17,16,0.405834,0.390282,100086,100087
88,44,WHITE,BLACK,UCT_WIN,BLACK,11,25,-14,33,1,13.169057,6.364083,6.799428,16,17,0.397755,0.399966,100087,100086
89,45,BLACK,WHITE,UCT_WIN,WHITE,13,23,-10,33,1,12.904073,6.76058,6.137855,17,16,0.397681,0.383616,100088,100089
90,45,WHITE,BLACK,UCT_WIN,BLACK,11,25,-14,32,0,13.067808,6.301674,6.760806,16,16,0.393855,0.42255,100089,100088
91,46,BLACK,WHITE,UCT_WIN,WHITE,13,23,-10,33,1,13.25785,6.948128,6.303858,17,16,0.408713,0.393991,100090,100091
92,46,WHITE,BLACK,THOMPSON_WIN,WHITE,28,8,20,32,0,12.771968,6.154022,6.612721,16,16,0.384626,0.413295,100091,100090
93,47,BLACK,WHITE,UCT_WIN,WHITE,9,27,-18,34,2,13.050064,6.810492,6.233885,17,17,0.400617,0.366699,100092,100093
94,47,WHITE,BLACK,UCT_WIN,BLACK,15,21,-6,32,0,12.702945,6.121687,6.576113,16,16,0.382605,0.411007,100093,100092
95,48,BLACK,WHITE,THOMPSON_WIN,BLACK,22,14,8,32,0,12.891085,6.764338,6.121357,16,16,0.422771,0.382585,100094,100095
96,48,WHITE,BLACK,UCT_WIN,BLACK,11,25,-14,33,1,12.949706,6.25519,6.68907,16,17,0.390949,0.393475,100095,100094
97,49,BLACK,WHITE,UCT_WIN,WHITE,14,22,-8,32,0,12.872843,6.752159,6.115213,16,16,0.42201,0.382201,100096,100097
98,49,WHITE,BLACK,THOMPSON_WIN,WHITE,24,12,12,32,0,12.990286,6.266952,6.717883,16,16,0.391684,0.419868,100097,100096
99,50,BLACK,WHITE,UCT_WIN,WHITE,13,23,-10,33,1,13.302635,6.92792,6.36891,17,16,0.407525,0.398057,100098,100099
100,50,WHITE,BLACK,UCT_WIN,BLACK,15,21,-6,33,1,12.951066,6.265172,6.680463,16,17,0.391573,0.392968,100099,100098
