metric,value
experiment_name,08_classical_thompson_vs_classical_uct
board_rows,6
board_cols,6
simulations_per_move,200
total_games,100
seed_start,100000
thompson_alpha_prior,2.0
thompson_beta_prior,1.0
uct_exploration_constant,0.5
thompson_wins,38
uct_wins,60
draws,2
thompson_win_rate,0.38
thompson_score_rate,0.39
thompson_win_rate_ci95_low,0.290974
thompson_win_rate_ci95_high,0.477904
thompson_black_games,50
thompson_black_wins,22
thompson_black_win_rate,0.44
thompson_black_ci95_low,0.31162
thompson_black_ci95_high,0.576942
thompson_white_games,50
thompson_white_wins,16
thompson_white_win_rate,0.32
thompson_white_ci95_low,0.20758
thompson_white_ci95_high,0.458106
average_thompson_discs,16.41
average_uct_discs,19.46
average_disc_difference,-3.05
median_disc_difference,-6.0
average_actions_per_game,32.57
median_actions_per_game,32.0
average_passes_per_game,0.7
average_match_runtime_seconds,13.059417
total_experiment_runtime_seconds,1305.951105
thompson_total_search_seconds,656.80508
uct_total_search_seconds,648.586333
thompson_total_decisions,1627
uct_total_decisions,1630
thompson_average_seconds_per_decision,0.403691
uct_average_seconds_per_decision,0.397906
