experiment_name,game,pair,thompson_colour,uct_colour,outcome,winner_colour,thompson_discs,uct_discs,disc_difference,actions,passes,match_runtime_seconds,thompson_search_seconds,uct_search_seconds,thompson_decisions,uct_decisions,thompson_seconds_per_decision,uct_seconds_per_decision,thompson_seed,uct_seed,board_rows,board_cols,simulations,thompson_alpha_prior,thompson_beta_prior,uct_exploration_constant,uct_progressive_bias_weight,rollout_epsilon,expansion_epsilon,rollout_depth_limit,guided_expansion,heuristic_rollouts,root_safety,root_lookahead,heuristic_cutoff
11_enhanced_thompson_vs_enhanced_uct,56,28,WHITE,BLACK,THOMPSON_WIN,WHITE,25,11,14,32,0,92.2698595,43.9800322,48.279058,16,16,2.748752013,3.017441125,100055,100054,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,57,29,BLACK,WHITE,THOMPSON_WIN,BLACK,20,16,4,32,0,96.2529152,51.2277244,45.0122835,16,16,3.201732775,2.813267719,100056,100057,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,58,29,WHITE,BLACK,THOMPSON_WIN,WHITE,22,14,8,32,0,79.2519941,39.218818,40.0231351,16,16,2.451176125,2.501445944,100057,100056,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,59,30,BLACK,WHITE,UCT_WIN,WHITE,14,22,-8,33,1,77.9669605,41.7574312,36.1984565,17,16,2.456319482,2.262403531,100058,100059,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,60,30,WHITE,BLACK,UCT_WIN,BLACK,16,20,-4,32,0,94.98624,45.316034,49.6583389,16,16,2.832252125,3.103646181,100059,100058,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,61,31,BLACK,WHITE,UCT_WIN,WHITE,7,29,-22,32,0,90.9778442,47.0793094,43.885844,16,16,2.942456837,2.74286525,100060,100061,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,62,31,WHITE,BLACK,THOMPSON_WIN,WHITE,33,3,30,34,2,77.9994724,36.9710494,41.0176854,17,17,2.174767612,2.412805024,100061,100060,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,63,32,BLACK,WHITE,THOMPSON_WIN,BLACK,22,13,9,32,1,91.8999508,46.6935353,45.1939645,16,16,2.918345956,2.824622781,100062,100063,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,64,32,WHITE,BLACK,THOMPSON_WIN,WHITE,27,9,18,34,2,91.4295145,43.5843552,47.8324513,17,17,2.5637856,2.813673606,100063,100062,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,65,33,BLACK,WHITE,THOMPSON_WIN,BLACK,21,15,6,33,1,89.5538114,48.0576724,41.4838087,17,16,2.826921906,2.592738044,100064,100065,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,66,33,WHITE,BLACK,UCT_WIN,BLACK,13,23,-10,33,1,91.9714775,43.9333509,48.0262013,16,17,2.745834431,2.825070665,100065,100064,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,67,34,BLACK,WHITE,THOMPSON_WIN,BLACK,19,17,2,32,0,93.252296,50.3335529,42.9060674,16,16,3.145847056,2.681629213,100066,100067,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,68,34,WHITE,BLACK,THOMPSON_WIN,WHITE,22,14,8,32,0,93.4195465,44.4204388,48.9855857,16,16,2.776277425,3.061599106,100067,100066,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,69,35,BLACK,WHITE,DRAW,DRAW,18,18,0,32,0,81.1188964,43.2046617,37.9040198,16,16,2.700291356,2.369001237,100068,100069,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,70,35,WHITE,BLACK,UCT_WIN,BLACK,15,21,-6,32,0,91.7976124,44.2317437,47.5535207,16,16,2.764483981,2.972095044,100069,100068,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,71,36,BLACK,WHITE,THOMPSON_WIN,BLACK,24,11,13,33,2,91.7356716,48.2619234,43.4606141,17,16,2.838936671,2.716288381,100070,100071,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,72,36,WHITE,BLACK,UCT_WIN,BLACK,11,25,-14,33,1,101.934418,49.168335,52.7513911,16,17,3.073020937,3.103023006,100071,100070,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,73,37,BLACK,WHITE,UCT_WIN,WHITE,4,32,-28,34,2,107.8310541,57.5994919,50.2173197,17,17,3.388205406,2.953959982,100072,100073,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,74,37,WHITE,BLACK,UCT_WIN,BLACK,16,20,-4,32,0,94.4589262,45.1326816,49.3141128,16,16,2.8207926,3.08213205,100073,100072,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,75,38,BLACK,WHITE,UCT_WIN,WHITE,14,22,-8,33,1,92.8751751,49.59974,43.2633875,17,16,2.917631765,2.703961719,100074,100075,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,76,38,WHITE,BLACK,UCT_WIN,BLACK,9,27,-18,33,1,94.1012716,45.8944459,48.1936352,16,17,2.868402869,2.834919718,100075,100074,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,77,39,BLACK,WHITE,THOMPSON_WIN,BLACK,21,15,6,32,0,79.963577,41.1914516,38.7617675,16,16,2.574465725,2.422610469,100076,100077,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,78,39,WHITE,BLACK,UCT_WIN,BLACK,15,21,-6,32,0,82.9798022,39.6574567,43.3110258,16,16,2.478591044,2.706939112,100077,100076,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,79,40,BLACK,WHITE,THOMPSON_WIN,BLACK,23,13,10,33,1,91.7715309,46.9599002,44.8005328,17,16,2.762347071,2.8000333,100078,100079,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,80,40,WHITE,BLACK,UCT_WIN,BLACK,16,20,-4,33,1,91.5304641,45.0926413,46.4249725,16,17,2.818290081,2.730880735,100079,100078,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,81,41,BLACK,WHITE,THOMPSON_WIN,BLACK,22,14,8,32,0,93.5259167,49.8653357,43.6474767,16,16,3.116583481,2.727967294,100080,100081,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,82,41,WHITE,BLACK,THOMPSON_WIN,WHITE,24,12,12,32,0,80.6537402,38.6958814,41.9480498,16,16,2.418492588,2.621753113,100081,100080,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,83,42,BLACK,WHITE,UCT_WIN,WHITE,13,23,-10,33,1,95.4165915,49.5083107,45.8963753,17,16,2.912253571,2.868523456,100082,100083,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,84,42,WHITE,BLACK,THOMPSON_WIN,WHITE,19,17,2,32,0,83.2177419,41.0769594,42.1314064,16,16,2.567309962,2.6332129,100083,100082,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
