experiment_name,c_value,game,seed,tested_agent_side,opponent_side,outcome_for_tested_agent,winner,tested_agent_discs,opponent_discs,disc_difference,moves_played,passes,runtime_seconds,tested_search_seconds,opponent_search_seconds,tested_decisions,opponent_decisions,tested_seconds_per_decision,opponent_seconds_per_decision,board_rows,board_cols,simulations,weak_tactical_random_move_probability
09_classical_uct_c_sweep_vs_weak_tactical,0.5,1,0,BLACK,WHITE,win,BLACK,12,4,8,13,1,2.4448516,2.4394287,0.0016853,7,6,0.348489814,0.000280883,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.5,2,1,WHITE,BLACK,win,WHITE,22,14,8,32,0,3.1362504,3.1278292,0.0030934,16,16,0.195489325,0.000193338,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.5,3,2,BLACK,WHITE,loss,WHITE,7,29,-22,34,2,3.5253,3.5169887,0.002934,17,17,0.206881688,0.000172588,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.5,4,3,WHITE,BLACK,loss,BLACK,5,31,-26,33,1,3.1766839,3.1681891,0.003048,16,17,0.198011819,0.000179294,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.5,5,4,BLACK,WHITE,win,BLACK,24,12,12,33,1,3.5132207,3.5044972,0.003118,17,16,0.206146894,0.000194875,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.5,6,5,WHITE,BLACK,loss,BLACK,14,22,-8,33,1,3.1509736,3.1425316,0.0029799,16,17,0.196408225,0.000175288,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.5,7,6,BLACK,WHITE,win,BLACK,26,10,16,34,2,3.4396165,3.431039,0.0030715,17,17,0.201825824,0.000180676,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.5,8,7,WHITE,BLACK,win,WHITE,20,15,5,32,1,3.1943431,3.1850775,0.0033395,16,16,0.199067344,0.000208719,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.5,9,8,BLACK,WHITE,win,BLACK,20,16,4,33,1,3.3961566,3.3879004,0.0027846,17,16,0.199288259,0.000174038,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.5,10,9,WHITE,BLACK,win,WHITE,27,9,18,32,0,3.0385415,3.030661799,0.0028208,16,16,0.189416362,0.0001763,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.5,11,10,BLACK,WHITE,loss,WHITE,17,19,-2,32,0,3.4002388,3.392207099,0.0028514,16,16,0.212012944,0.000178212,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.5,12,11,WHITE,BLACK,loss,BLACK,2,34,-32,33,1,3.1349526,3.125943099,0.0033173,16,17,0.195371444,0.000195135,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.5,13,12,BLACK,WHITE,win,BLACK,20,16,4,33,1,3.4875204,3.4789168,0.002878,17,16,0.204642165,0.000179875,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.5,14,13,WHITE,BLACK,draw,DRAW,18,18,0,33,1,3.1408189,3.132008999,0.0031505,16,17,0.195750562,0.000185324,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.5,15,14,BLACK,WHITE,draw,DRAW,18,18,0,33,1,3.4314345,3.4232442,0.0028637,17,16,0.201367306,0.000178981,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.5,16,15,WHITE,BLACK,win,WHITE,22,14,8,34,2,3.1358505,3.1273972,0.0029587,17,17,0.183964541,0.000174041,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.5,17,16,BLACK,WHITE,loss,WHITE,7,29,-22,32,0,3.4900589,3.481612101,0.0029633,16,16,0.217600756,0.000185206,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.5,18,17,WHITE,BLACK,win,WHITE,22,14,8,33,1,3.222318,3.2134954,0.0032174,16,17,0.200843463,0.000189259,6,6,100,0.0
