experiment_name,c_value,game,seed,tested_agent_side,opponent_side,outcome_for_tested_agent,winner,tested_agent_discs,opponent_discs,disc_difference,moves_played,passes,runtime_seconds,tested_search_seconds,opponent_search_seconds,tested_decisions,opponent_decisions,tested_seconds_per_decision,opponent_seconds_per_decision,board_rows,board_cols,simulations,weak_tactical_random_move_probability
09_classical_uct_c_sweep_vs_weak_tactical,0.75,1,0,BLACK,WHITE,win,BLACK,21,15,6,32,0,3.5389625,3.5300247,0.0030084,16,16,0.220626544,0.000188025,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.75,2,1,WHITE,BLACK,loss,BLACK,9,27,-18,32,0,3.4958638,3.4867878,0.0034433,16,16,0.217924238,0.000215206,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.75,3,2,BLACK,WHITE,win,BLACK,26,10,16,36,4,4.2729017,4.262315899,0.0034908,18,18,0.236795328,0.000193933,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.75,4,3,WHITE,BLACK,loss,BLACK,0,34,-34,33,3,3.3799243,3.36956,0.0037834,16,17,0.2105975,0.000222553,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.75,5,4,BLACK,WHITE,loss,WHITE,5,31,-26,32,0,3.8067872,3.7975333,0.0034644,16,16,0.237345831,0.000216525,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.75,6,5,WHITE,BLACK,win,WHITE,21,15,6,32,0,3.3873483,3.3786407,0.0031779,16,16,0.211165044,0.000198619,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.75,7,6,BLACK,WHITE,win,BLACK,20,16,4,33,1,3.9140147,3.9050577,0.0031665,17,16,0.229709276,0.000197906,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.75,8,7,WHITE,BLACK,win,WHITE,29,7,22,32,0,3.4282122,3.4191281,0.003198199,16,16,0.213695506,0.000199887,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.75,9,8,BLACK,WHITE,win,BLACK,19,17,2,32,0,3.7106582,3.701228701,0.0031767,16,16,0.231326794,0.000198544,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.75,10,9,WHITE,BLACK,win,WHITE,22,14,8,32,0,3.3583926,3.349592,0.0032149,16,16,0.2093495,0.000200931,6,6,100,0.0
