experiment_name,c_value,game,seed,tested_agent_side,opponent_side,outcome_for_tested_agent,winner,tested_agent_discs,opponent_discs,disc_difference,moves_played,passes,runtime_seconds,tested_search_seconds,opponent_search_seconds,tested_decisions,opponent_decisions,tested_seconds_per_decision,opponent_seconds_per_decision,board_rows,board_cols,simulations,weak_tactical_random_move_probability
09_classical_uct_c_sweep_vs_weak_tactical,0.2,1,0,BLACK,WHITE,win,BLACK,20,16,4,33,1,3.255644,3.2470515,0.0029124,17,16,0.191003029,0.000182025,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,2,1,WHITE,BLACK,loss,BLACK,14,22,-8,32,0,3.001118,2.9928491,0.0029419,16,16,0.187053069,0.000183869,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,3,2,BLACK,WHITE,loss,WHITE,0,36,-36,34,2,3.3282365,3.319259301,0.003308199,17,17,0.195250547,0.0001946,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,4,3,WHITE,BLACK,win,WHITE,20,16,4,32,0,2.9629942,2.9549344,0.0028872,16,16,0.1846834,0.00018045,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,5,4,BLACK,WHITE,win,BLACK,23,13,10,33,1,3.3634519,3.3552247,0.0028286,17,16,0.197366159,0.000176788,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,6,5,WHITE,BLACK,loss,BLACK,0,36,-36,35,3,3.1297693,3.1207229,0.003187799,17,18,0.183571935,0.0001771,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,7,6,BLACK,WHITE,loss,WHITE,2,33,-31,32,1,3.5707391,3.5620506,0.0029844,16,16,0.222628163,0.000186525,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,8,7,WHITE,BLACK,win,WHITE,21,15,6,34,2,3.1865842,3.177662499,0.003248,17,17,0.186921323,0.000191059,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,9,8,BLACK,WHITE,loss,WHITE,15,21,-6,32,0,3.4218296,3.4135738,0.0028371,16,16,0.213348362,0.000177319,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,10,9,WHITE,BLACK,win,WHITE,26,10,16,34,2,3.4042835,3.3943467,0.0035093,17,17,0.199667453,0.000206429,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,11,10,BLACK,WHITE,win,BLACK,26,10,16,33,1,3.3616199,3.35345,0.0029336,17,16,0.197261765,0.00018335,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,12,11,WHITE,BLACK,win,WHITE,20,8,12,24,0,3.1617734,3.1537947,0.0027372,12,12,0.262816225,0.0002281,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,13,12,BLACK,WHITE,win,BLACK,32,4,28,35,3,3.5821848,3.573196599,0.003065899,18,17,0.198510922,0.000180347,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,14,13,WHITE,BLACK,loss,BLACK,13,23,-10,32,0,3.096673,3.08786,0.0032708,16,16,0.19299125,0.000204425,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,15,14,BLACK,WHITE,draw,DRAW,18,18,0,33,1,3.421757,3.4136093,0.002823399,17,16,0.200800547,0.000176462,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,16,15,WHITE,BLACK,loss,BLACK,5,28,-23,30,1,3.1561101,3.1473807,0.0029652,15,15,0.20982538,0.00019768,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,17,16,BLACK,WHITE,win,BLACK,20,16,4,34,2,3.3741347,3.3657032,0.0029159,17,17,0.197982541,0.000171524,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,18,17,WHITE,BLACK,loss,BLACK,8,28,-20,35,3,3.1358516,3.126864401,0.0032417,17,18,0.1839332,0.000180094,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,19,18,BLACK,WHITE,win,BLACK,28,8,20,35,3,3.4303662,3.4211737,0.0034613,18,17,0.190065206,0.000203606,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,20,19,WHITE,BLACK,loss,BLACK,6,30,-24,32,0,3.1200162,3.1119067,0.0029434,16,16,0.194494169,0.000183963,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,21,20,BLACK,WHITE,win,BLACK,24,12,12,35,3,3.5702857,3.5578342,0.0066724,18,17,0.197657456,0.000392494,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,22,21,WHITE,BLACK,loss,BLACK,12,24,-12,32,0,3.0655777,3.057350501,0.0030223,16,16,0.191084406,0.000188894,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,23,22,BLACK,WHITE,draw,DRAW,18,18,0,33,1,3.4122673,3.403965,0.0028302,17,16,0.200233235,0.000176888,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,24,23,WHITE,BLACK,loss,BLACK,12,24,-12,32,0,3.1199928,3.1113453,0.0033592,16,16,0.194459081,0.00020995,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,25,24,BLACK,WHITE,win,BLACK,21,15,6,33,1,3.3768737,3.3684163,0.0028722,17,16,0.198142135,0.000179513,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,26,25,WHITE,BLACK,loss,BLACK,1,35,-34,33,1,3.0647407,3.0561743,0.003131599,16,17,0.191010894,0.000184212,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,27,26,BLACK,WHITE,loss,WHITE,8,28,-20,32,0,3.4021896,3.3934501,0.003096601,16,16,0.212090631,0.000193538,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,28,27,WHITE,BLACK,win,WHITE,22,14,8,32,0,3.0424,3.033737299,0.0031824,16,16,0.189608581,0.0001989,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,29,28,BLACK,WHITE,loss,WHITE,13,23,-10,32,0,3.2988047,3.2906776,0.0028631,16,16,0.20566735,0.000178944,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,30,29,WHITE,BLACK,loss,BLACK,2,34,-32,33,1,3.110346,3.1015474,0.0033504,16,17,0.193846713,0.000197082,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,31,30,BLACK,WHITE,loss,WHITE,9,27,-18,33,1,3.3148198,3.3065031,0.0029246,17,16,0.194500182,0.000182788,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,32,31,WHITE,BLACK,loss,BLACK,12,24,-12,33,1,3.0789954,3.070106299,0.0032473,16,17,0.191881644,0.000191018,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,33,32,BLACK,WHITE,loss,WHITE,5,31,-26,32,0,3.3821396,3.3738739,0.0028606,16,16,0.210867119,0.000178787,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,34,33,WHITE,BLACK,win,WHITE,21,15,6,32,0,2.992395,2.984095199,0.0030233,16,16,0.18650595,0.000188956,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,35,34,BLACK,WHITE,win,BLACK,29,4,25,29,0,3.3713067,3.3631428,0.0027985,15,14,0.22420952,0.000199893,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,36,35,WHITE,BLACK,win,WHITE,19,17,2,34,2,2.9824553,2.9740807,0.002889799,17,17,0.174945924,0.000169988,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,0.2,37,36,BLACK,WHITE,draw,DRAW,18,18,0,33,1,3.403183,3.394687199,0.0028746,17,16,0.199687482,0.000179663,6,6,100,0.0
