experiment_name,c_value,game,seed,tested_agent_side,opponent_side,outcome_for_tested_agent,winner,tested_agent_discs,opponent_discs,disc_difference,moves_played,passes,runtime_seconds,tested_search_seconds,opponent_search_seconds,tested_decisions,opponent_decisions,tested_seconds_per_decision,opponent_seconds_per_decision,board_rows,board_cols,simulations,weak_tactical_random_move_probability
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,75,74,BLACK,WHITE,loss,WHITE,10,26,-16,32,0,3.5727508,3.5642724,0.0030894,16,16,0.222767025,0.000193088,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,76,75,WHITE,BLACK,loss,BLACK,5,31,-26,35,3,3.2140105,3.204662901,0.003326299,17,18,0.188509582,0.000184794,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,77,76,BLACK,WHITE,win,BLACK,28,8,20,33,1,3.555263,3.5468709,0.0028553,17,16,0.208639465,0.000178456,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,78,77,WHITE,BLACK,win,WHITE,25,11,14,35,3,3.6758516,3.6650682,0.003723,17,18,0.215592247,0.000206833,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,79,78,BLACK,WHITE,win,BLACK,23,13,10,33,1,3.4886994,3.480193099,0.0029227,17,16,0.204717241,0.000182669,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,80,79,WHITE,BLACK,loss,BLACK,9,27,-18,32,0,3.1069569,3.0986797,0.002983,16,16,0.193667481,0.000186438,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,81,80,BLACK,WHITE,win,BLACK,22,14,8,33,1,3.5174108,3.5086618,0.0031695,17,16,0.206391871,0.000198094,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,82,81,WHITE,BLACK,loss,BLACK,0,35,-35,33,2,3.1955441,3.1867088,0.003186,16,17,0.1991693,0.000187412,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,83,82,BLACK,WHITE,win,BLACK,23,13,10,33,1,3.9809793,3.9720918,0.0030404,17,16,0.233652459,0.000190025,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,84,83,WHITE,BLACK,win,WHITE,21,15,6,34,2,3.3817201,3.3728906,0.003050501,17,17,0.198405329,0.000179441,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,85,84,BLACK,WHITE,loss,WHITE,8,28,-20,33,1,3.6996955,3.6908674,0.003184401,17,16,0.217109847,0.000199025,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,86,85,WHITE,BLACK,win,WHITE,21,15,6,32,0,3.3226725,3.3132336,0.003306999,16,16,0.2070771,0.000206687,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,87,86,BLACK,WHITE,loss,WHITE,8,28,-20,32,0,3.904855,3.8955535,0.003276899,16,16,0.243472094,0.000204806,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,88,87,WHITE,BLACK,loss,BLACK,11,25,-14,32,0,3.4381168,3.4292896,0.0031616,16,16,0.2143306,0.0001976,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,89,88,BLACK,WHITE,win,BLACK,20,16,4,33,1,3.6069477,3.5982308,0.003185,17,16,0.211660635,0.000199062,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,90,89,WHITE,BLACK,win,WHITE,26,10,16,34,2,3.3188466,3.3102765,0.0031291,17,17,0.194722147,0.000184065,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,91,90,BLACK,WHITE,draw,DRAW,18,18,0,33,1,3.8119594,3.803007099,0.003083899,17,16,0.2237063,0.000192744,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,92,91,WHITE,BLACK,loss,BLACK,5,28,-23,31,2,3.3471231,3.3380066,0.0031639,15,16,0.222533773,0.000197744,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,93,92,BLACK,WHITE,win,BLACK,18,17,1,32,1,3.7191293,3.710142799,0.002961399,16,16,0.231883925,0.000185087,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,94,93,WHITE,BLACK,loss,BLACK,4,32,-28,33,1,3.128777,3.1204293,0.003066899,16,17,0.195026831,0.000180406,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,95,94,BLACK,WHITE,loss,WHITE,6,30,-24,32,0,3.7216753,3.7130145,0.0031068,16,16,0.232063406,0.000194175,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,96,95,WHITE,BLACK,win,WHITE,23,13,10,34,2,3.309505,3.299650099,0.0034014,17,17,0.194097065,0.000200082,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,97,96,BLACK,WHITE,loss,WHITE,1,35,-34,32,0,3.655022,3.646134001,0.0030437,16,16,0.227883375,0.000190231,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,98,97,WHITE,BLACK,loss,BLACK,15,21,-6,32,0,3.2828396,3.2745155,0.0029628,16,16,0.204657219,0.000185175,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,99,98,BLACK,WHITE,loss,WHITE,7,29,-22,33,1,3.5346318,3.5262928,0.0028702,17,16,0.207428988,0.000179388,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,1.4142135623730951,100,99,WHITE,BLACK,win,WHITE,20,16,4,35,3,3.5325979,3.5229474,0.003350801,17,18,0.2072322,0.000186156,6,6,100,0.0
