experiment_name,c_value,game,seed,tested_agent_side,opponent_side,outcome_for_tested_agent,winner,tested_agent_discs,opponent_discs,disc_difference,moves_played,passes,runtime_seconds,tested_search_seconds,opponent_search_seconds,tested_decisions,opponent_decisions,tested_seconds_per_decision,opponent_seconds_per_decision,board_rows,board_cols,simulations,weak_tactical_random_move_probability
09_classical_uct_c_sweep_vs_weak_tactical,3.0,1,0,BLACK,WHITE,win,BLACK,20,16,4,33,1,3.6138051,3.6053752,0.0028355,17,16,0.212080894,0.000177219,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,2,1,WHITE,BLACK,win,WHITE,27,9,18,34,2,3.4361433,3.426819,0.0032768,17,17,0.201577588,0.000192753,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,3,2,BLACK,WHITE,win,BLACK,22,14,8,32,0,3.7981816,3.7897231,0.0029314,16,16,0.236857694,0.000183213,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,4,3,WHITE,BLACK,win,WHITE,22,14,8,32,0,3.3821983,3.3729967,0.003173099,16,16,0.210812294,0.000198319,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,5,4,BLACK,WHITE,win,BLACK,20,16,4,33,1,3.7373515,3.7284989,0.0030417,17,16,0.219323465,0.000190106,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,6,5,WHITE,BLACK,win,WHITE,20,16,4,32,0,3.2779044,3.269458299,0.0029333,16,16,0.204341144,0.000183331,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,7,6,BLACK,WHITE,win,BLACK,23,13,10,33,1,3.7271646,3.7175882,0.0033624,17,16,0.218681659,0.00021015,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,8,7,WHITE,BLACK,win,WHITE,20,16,4,32,0,3.3725134,3.3638704,0.003175199,16,16,0.2102419,0.00019845,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,9,8,BLACK,WHITE,loss,WHITE,5,31,-26,34,2,3.6712843,3.6624201,0.0030393,17,17,0.215436476,0.000178782,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,10,9,WHITE,BLACK,loss,BLACK,7,29,-22,33,1,3.3000952,3.2910099,0.0033897,16,17,0.205688119,0.000199394,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,11,10,BLACK,WHITE,win,BLACK,20,16,4,32,0,3.8506423,3.8411755,0.0034486,16,16,0.240073469,0.000215537,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,12,11,WHITE,BLACK,loss,BLACK,7,29,-22,32,0,3.314705,3.3042057,0.0037592,16,16,0.206512856,0.00023495,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,13,12,BLACK,WHITE,win,BLACK,26,10,16,32,0,3.5938718,3.585574399,0.002937899,16,16,0.2240984,0.000183619,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,14,13,WHITE,BLACK,win,WHITE,22,14,8,33,1,3.2654216,3.257144,0.002963501,16,17,0.2035715,0.000174324,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,15,14,BLACK,WHITE,loss,WHITE,3,33,-30,34,2,3.534335,3.525574999,0.0028683,17,17,0.207386765,0.000168724,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,16,15,WHITE,BLACK,win,WHITE,29,7,22,34,2,3.5169974,3.5080185,0.003237501,17,17,0.206354029,0.000190441,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,17,16,BLACK,WHITE,loss,WHITE,13,23,-10,32,0,4.3374933,4.326410299,0.003833,16,16,0.270400644,0.000239563,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,18,17,WHITE,BLACK,win,WHITE,26,10,16,33,1,4.0134017,4.0026939,0.0038466,16,17,0.250168369,0.000226271,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,19,18,BLACK,WHITE,win,BLACK,25,11,14,33,1,4.6968558,4.6859276,0.0039882,17,16,0.2756428,0.000249262,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,20,19,WHITE,BLACK,draw,DRAW,18,18,0,34,2,3.7936058,3.7820702,0.004006801,17,17,0.222474718,0.000235694,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,21,20,BLACK,WHITE,win,BLACK,20,16,4,33,1,4.3303934,4.3188745,0.003621,17,16,0.254051441,0.000226313,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,22,21,WHITE,BLACK,draw,DRAW,18,18,0,32,0,3.6214745,3.6109658,0.0036238,16,16,0.225685363,0.000226488,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,23,22,BLACK,WHITE,win,BLACK,27,9,18,32,0,4.127561,4.1187326,0.0030659,16,16,0.257420788,0.000191619,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,24,23,WHITE,BLACK,loss,BLACK,1,32,-31,33,4,3.6605075,3.6507406,0.0033472,16,17,0.228171288,0.000196894,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,25,24,BLACK,WHITE,win,BLACK,19,17,2,32,0,3.8382682,3.8293175,0.0029644,16,16,0.239332344,0.000185275,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,26,25,WHITE,BLACK,win,WHITE,19,17,2,32,0,3.5865346,3.5769626,0.0034576,16,16,0.223560162,0.0002161,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,27,26,BLACK,WHITE,loss,WHITE,1,35,-34,34,2,3.9769967,3.9661901,0.0037323,17,17,0.2333053,0.000219547,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,28,27,WHITE,BLACK,win,WHITE,23,13,10,32,0,3.2275317,3.2189312,0.0031367,16,16,0.2011832,0.000196044,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,29,28,BLACK,WHITE,loss,WHITE,13,23,-10,32,0,3.6968936,3.6875967,0.0032144,16,16,0.230474794,0.0002009,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,30,29,WHITE,BLACK,win,WHITE,20,16,4,32,0,3.372084,3.3634682,0.0031498,16,16,0.210216763,0.000196863,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,31,30,BLACK,WHITE,loss,WHITE,2,34,-32,32,0,3.7215578,3.712976,0.0029512,16,16,0.232061,0.00018445,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,32,31,WHITE,BLACK,win,WHITE,20,16,4,32,0,3.17876,3.170066701,0.003261501,16,16,0.198129169,0.000203844,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,33,32,BLACK,WHITE,win,BLACK,20,16,4,32,0,3.5864842,3.5782402,0.0028333,16,16,0.223640013,0.000177081,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,34,33,WHITE,BLACK,win,WHITE,22,14,8,34,2,3.5693895,3.5595389,0.0033967,17,17,0.209384641,0.000199806,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,35,34,BLACK,WHITE,win,BLACK,28,8,20,35,3,3.8279927,3.8189638,0.0030381,18,17,0.212164656,0.000178712,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,36,35,WHITE,BLACK,win,WHITE,19,17,2,32,0,3.3432852,3.3344457,0.0033434,16,16,0.208402856,0.000208962,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,37,36,BLACK,WHITE,win,BLACK,21,15,6,33,1,3.7336157,3.7245199,0.003064199,17,16,0.219089406,0.000191512,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,38,37,WHITE,BLACK,draw,DRAW,18,18,0,32,0,3.3066964,3.2979275,0.0033083,16,16,0.206120469,0.000206769,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,39,38,BLACK,WHITE,win,BLACK,21,15,6,34,2,3.5716042,3.5631252,0.0029354,17,17,0.2095956,0.000172671,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,40,39,WHITE,BLACK,win,WHITE,22,14,8,33,1,3.4403909,3.431126001,0.003301,16,17,0.214445375,0.000194176,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,41,40,BLACK,WHITE,win,BLACK,19,17,2,32,0,3.7405819,3.7320475,0.0029172,16,16,0.233252969,0.000182325,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,42,41,WHITE,BLACK,draw,DRAW,18,18,0,32,0,3.3545521,3.345904,0.0031488,16,16,0.209119,0.0001968,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,43,42,BLACK,WHITE,win,BLACK,27,8,19,33,2,3.618145,3.6095951,0.0029338,17,16,0.212329124,0.000183363,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,44,43,WHITE,BLACK,win,WHITE,24,12,12,32,0,3.494844,3.4842583,0.0038238,16,16,0.217766144,0.000238988,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,45,44,BLACK,WHITE,win,BLACK,28,8,20,33,1,3.9154324,3.905978701,0.003369301,17,16,0.229763453,0.000210581,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,46,45,WHITE,BLACK,win,WHITE,21,15,6,32,0,3.5916777,3.5824029,0.0033272,16,16,0.223900181,0.00020795,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,47,46,BLACK,WHITE,loss,WHITE,9,27,-18,32,0,4.2981231,4.2869892,0.0039345,16,16,0.267936825,0.000245906,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,48,47,WHITE,BLACK,win,WHITE,21,15,6,33,1,6.8731718,6.8585431,0.005378399,16,17,0.428658944,0.000316376,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,49,48,BLACK,WHITE,win,BLACK,22,14,8,32,0,3.8487165,3.8398817,0.0030803,16,16,0.239992606,0.000192519,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,50,49,WHITE,BLACK,win,WHITE,21,15,6,34,2,3.5578194,3.5474831,0.0037068,17,17,0.208675476,0.000218047,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,51,50,BLACK,WHITE,win,BLACK,19,17,2,33,1,3.9293297,3.920109,0.0032302,17,16,0.230594647,0.000201887,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,52,51,WHITE,BLACK,win,WHITE,19,17,2,32,0,3.2833497,3.2735783,0.0037945,16,16,0.204598644,0.000237156,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,53,52,BLACK,WHITE,win,BLACK,23,13,10,33,1,3.5885477,3.5796172,0.0031176,17,16,0.210565718,0.00019485,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,54,53,WHITE,BLACK,loss,BLACK,14,22,-8,32,0,3.2650456,3.2562083,0.0031904,16,16,0.203513019,0.0001994,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,55,54,BLACK,WHITE,win,BLACK,22,14,8,33,1,3.6903353,3.681148401,0.003253899,17,16,0.216538141,0.000203369,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,56,55,WHITE,BLACK,win,WHITE,25,11,14,32,0,3.2531659,3.2444657,0.0031494,16,16,0.202779106,0.000196838,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,57,56,BLACK,WHITE,loss,WHITE,6,30,-24,32,0,3.457079,3.4488754,0.0029859,16,16,0.215554712,0.000186619,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,58,57,WHITE,BLACK,draw,DRAW,18,18,0,32,0,3.1352782,3.1269299,0.0031777,16,16,0.195433119,0.000198606,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,59,58,BLACK,WHITE,loss,WHITE,15,21,-6,32,0,3.5054354,3.4967437,0.0030081,16,16,0.218546481,0.000188006,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,60,59,WHITE,BLACK,loss,BLACK,10,26,-16,33,1,3.3021104,3.2928525,0.003484901,16,17,0.205803281,0.000204994,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,61,60,BLACK,WHITE,win,BLACK,22,14,8,35,3,3.5741209,3.5654384,0.0029151,18,17,0.198079911,0.000171476,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,62,61,WHITE,BLACK,win,WHITE,33,3,30,34,2,3.3182847,3.309488599,0.0031545,17,17,0.1946758,0.000185559,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,3.0,63,62,BLACK,WHITE,win,BLACK,22,14,8,33,1,3.6487493,3.6397526,0.0030874,17,16,0.214103094,0.000192962,6,6,100,0.0
