experiment_name,c_value,game,seed,tested_agent_side,opponent_side,outcome_for_tested_agent,winner,tested_agent_discs,opponent_discs,disc_difference,moves_played,passes,runtime_seconds,tested_search_seconds,opponent_search_seconds,tested_decisions,opponent_decisions,tested_seconds_per_decision,opponent_seconds_per_decision,board_rows,board_cols,simulations,weak_tactical_random_move_probability
09_classical_uct_c_sweep_vs_weak_tactical,2.0,1,0,BLACK,WHITE,win,BLACK,20,16,4,33,1,3.5752166,3.566648301,0.0028888,17,16,0.209802841,0.00018055,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,2,1,WHITE,BLACK,win,WHITE,20,16,4,32,0,3.525913,3.5172737,0.0031964,16,16,0.219829606,0.000199775,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,3,2,BLACK,WHITE,win,BLACK,21,13,8,30,0,3.6887796,3.6805043,0.0028782,15,15,0.245366953,0.00019188,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,4,3,WHITE,BLACK,win,WHITE,28,7,21,32,1,3.6061824,3.5968967,0.0035943,16,16,0.224806044,0.000224644,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,5,4,BLACK,WHITE,win,BLACK,30,6,24,33,1,3.6194864,3.6107895,0.0030834,17,16,0.212399382,0.000192712,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,6,5,WHITE,BLACK,loss,BLACK,1,35,-34,35,3,3.3569624,3.3479081,0.0031916,17,18,0.196935771,0.000177311,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,7,6,BLACK,WHITE,win,BLACK,24,12,12,35,3,3.8214562,3.8113963,0.0034232,18,17,0.211744239,0.000201365,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,8,7,WHITE,BLACK,win,WHITE,21,15,6,32,0,3.5260886,3.5172919,0.0029505,16,16,0.219830744,0.000184406,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,9,8,BLACK,WHITE,win,BLACK,21,15,6,33,1,3.7015403,3.692395,0.0031598,17,16,0.217199706,0.000197488,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,10,9,WHITE,BLACK,win,WHITE,21,15,6,33,1,3.4196164,3.410308999,0.0032652,16,17,0.213144312,0.000192071,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,11,10,BLACK,WHITE,loss,WHITE,6,30,-24,32,0,3.7315005,3.7225869,0.0030328,16,16,0.232661681,0.00018955,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,12,11,WHITE,BLACK,loss,BLACK,2,34,-32,33,1,3.6129702,3.6034379,0.0034383,16,17,0.225214869,0.000202253,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,13,12,BLACK,WHITE,win,BLACK,28,8,20,33,1,3.701985,3.6928131,0.0032957,17,16,0.2172243,0.000205981,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,14,13,WHITE,BLACK,win,WHITE,25,11,14,34,2,3.6079737,3.5979233,0.0035786,17,17,0.211642547,0.000210506,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,15,14,BLACK,WHITE,win,BLACK,26,10,16,34,2,4.0000837,3.9907722,0.0032183,17,17,0.234751306,0.000189312,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,16,15,WHITE,BLACK,loss,BLACK,7,29,-22,34,2,3.6022135,3.592505,0.0037207,17,17,0.211323824,0.000218865,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,17,16,BLACK,WHITE,win,BLACK,28,8,20,32,0,3.7471778,3.7380266,0.0033906,16,16,0.233626662,0.000211912,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,18,17,WHITE,BLACK,loss,BLACK,6,30,-24,32,0,3.2860272,3.2764709,0.0033901,16,16,0.204779431,0.000211881,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,19,18,BLACK,WHITE,win,BLACK,20,16,4,32,0,3.49241,3.483792701,0.0029371,16,16,0.217737044,0.000183569,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,20,19,WHITE,BLACK,win,WHITE,25,11,14,36,4,3.5072032,3.4970624,0.0035002,18,18,0.194281244,0.000194456,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,21,20,BLACK,WHITE,win,BLACK,27,9,18,33,1,3.5474881,3.5392578,0.0028969,17,16,0.208191635,0.000181056,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,22,21,WHITE,BLACK,win,WHITE,26,10,16,33,1,3.2200793,3.2116571,0.0030854,16,17,0.200728569,0.000181494,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,23,22,BLACK,WHITE,loss,WHITE,16,20,-4,33,1,3.4730954,3.464660299,0.002946,17,16,0.203803547,0.000184125,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,24,23,WHITE,BLACK,win,WHITE,25,11,14,34,2,3.3469221,3.337792001,0.0034237,17,17,0.196340706,0.000201394,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,25,24,BLACK,WHITE,win,BLACK,22,14,8,33,1,3.6921929,3.6835893,0.0028827,17,16,0.216681724,0.000180169,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,26,25,WHITE,BLACK,win,WHITE,29,7,22,33,1,3.2732709,3.2643666,0.003189099,16,17,0.204022912,0.000187594,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,27,26,BLACK,WHITE,win,BLACK,23,13,10,33,1,3.6316809,3.6227488,0.0030585,17,16,0.213102871,0.000191156,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,28,27,WHITE,BLACK,win,WHITE,19,17,2,32,0,3.1914924,3.182308299,0.0033518,16,16,0.198894269,0.000209488,6,6,100,0.0
09_classical_uct_c_sweep_vs_weak_tactical,2.0,29,28,BLACK,WHITE,win,BLACK,25,11,14,33,1,3.6559244,3.6470691,0.0030852,17,16,0.214533476,0.000192825,6,6,100,0.0
