status,experiment_name,comparison_file,game_index,seed,board_rows,board_cols,win_length,tested_agent_name,opponent_name,tested_agent_side,opponent_side,agent_x_name,agent_o_name,winner,outcome_for_tested_agent,moves_played,runtime_seconds,seconds_per_move,timestamp_start,timestamp_end,tested_agent_simulations,tested_agent_selection_policy,tested_agent_rollout_policy,tested_agent_use_tactical_guard,tested_agent_use_heuristic_expansion,opponent_simulations,opponent_selection_policy,opponent_rollout_policy,opponent_use_tactical_guard,opponent_use_heuristic_expansion,error_message
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,56,55,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",X,loss,17,80.104881,4.712052,2026-07-23T13:49:31,2026-07-23T13:50:51,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,57,56,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,win,17,77.033207,4.531365,2026-07-23T13:50:51,2026-07-23T13:52:08,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,58,57,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",O,win,16,63.158589,3.947412,2026-07-23T13:52:08,2026-07-23T13:53:11,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,59,58,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,win,17,76.032651,4.472509,2026-07-23T13:53:11,2026-07-23T13:54:27,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,60,59,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",O,win,14,57.730269,4.123591,2026-07-23T13:54:27,2026-07-23T13:55:25,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,61,60,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,win,13,65.655954,5.050458,2026-07-23T13:55:25,2026-07-23T13:56:31,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,62,61,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",O,win,20,55.659864,2.782993,2026-07-23T13:56:31,2026-07-23T13:57:26,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,63,62,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,win,13,67.306900,5.177454,2026-07-23T13:57:26,2026-07-23T13:58:34,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,64,63,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,O,X,TacticalAgent,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",O,win,14,56.468182,4.033442,2026-07-23T13:58:34,2026-07-23T13:59:30,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
ok,04_enhanced_thompson_vs_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py,65,64,7,7,4,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,O,"MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=InternalHeuristicRollout, guard=True, heuristic_expansion=True)",TacticalAgent,X,win,13,64.331092,4.948546,2026-07-23T13:59:30,2026-07-23T14:00:35,500,ThompsonSamplingSelectionPolicy,InternalHeuristicRollout,True,True,,,,,,
