experiment_name,game,pair,thompson_colour,uct_colour,outcome,winner_colour,thompson_discs,uct_discs,disc_difference,actions,passes,match_runtime_seconds,thompson_search_seconds,uct_search_seconds,thompson_decisions,uct_decisions,thompson_seconds_per_decision,uct_seconds_per_decision,thompson_seed,uct_seed,board_rows,board_cols,simulations,thompson_alpha_prior,thompson_beta_prior,uct_exploration_constant,uct_progressive_bias_weight,rollout_epsilon,expansion_epsilon,rollout_depth_limit,guided_expansion,heuristic_rollouts,root_safety,root_lookahead,heuristic_cutoff
11_enhanced_thompson_vs_enhanced_uct,1,1,BLACK,WHITE,UCT_WIN,WHITE,11,25,-14,32,0,20.9990543,11.0024432,9.9910243,16,16,0.6876527,0.624439019,50000,50001,6,6,100,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,2,1,WHITE,BLACK,THOMPSON_WIN,WHITE,24,12,12,32,0,23.5731621,11.6535865,11.9137243,16,16,0.728349156,0.744607769,50001,50000,6,6,100,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,3,2,BLACK,WHITE,THOMPSON_WIN,BLACK,27,9,18,33,1,22.7724245,11.5507173,11.2158631,17,16,0.679453959,0.700991444,50002,50003,6,6,100,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,4,2,WHITE,BLACK,THOMPSON_WIN,WHITE,27,9,18,32,0,21.9682715,10.7649238,11.1976965,16,16,0.672807738,0.699856031,50003,50002,6,6,100,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,5,3,BLACK,WHITE,THOMPSON_WIN,BLACK,21,15,6,32,0,21.9189513,11.4707442,10.4425625,16,16,0.716921513,0.652660156,50004,50005,6,6,100,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,6,3,WHITE,BLACK,UCT_WIN,BLACK,11,24,-13,33,2,22.8759132,11.174463,11.6951205,16,17,0.698403937,0.687948265,50005,50004,6,6,100,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,7,4,BLACK,WHITE,UCT_WIN,WHITE,8,28,-20,33,1,21.5521067,11.5281876,10.0178738,17,16,0.678128682,0.626117113,50006,50007,6,6,100,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,8,4,WHITE,BLACK,UCT_WIN,BLACK,17,19,-2,33,1,23.2117494,11.056111,12.1497604,16,17,0.691006938,0.714691788,50007,50006,6,6,100,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,9,5,BLACK,WHITE,UCT_WIN,WHITE,7,29,-22,32,0,22.8799731,12.0552901,10.8187978,16,16,0.753455631,0.676174862,50008,50009,6,6,100,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,10,5,WHITE,BLACK,UCT_WIN,BLACK,9,26,-17,32,1,22.5074211,11.0406765,11.4608969,16,16,0.690042281,0.716306056,50009,50008,6,6,100,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
