metric,value
experiment_name,11_enhanced_thompson_vs_enhanced_uct
board_rows,6
board_cols,6
simulations_per_move,100
planned_games,100
completed_games,100
seed_start,100000
thompson_alpha_prior,2.0
thompson_beta_prior,1.0
uct_exploration_constant,0.5
uct_progressive_bias_weight,0.0
rollout_epsilon,0.15
expansion_epsilon,0.05
rollout_depth_limit,16
guided_expansion,True
heuristic_rollouts,True
root_safety,True
root_lookahead,True
heuristic_cutoff,True
thompson_wins,43
uct_wins,52
draws,5
thompson_win_rate,0.43
uct_win_rate,0.52
draw_rate,0.05
thompson_score_rate,0.455
uct_score_rate,0.545
thompson_win_rate_ci95_low,0.33733139
thompson_win_rate_ci95_high,0.527847883
uct_win_rate_ci95_low,0.423164051
uct_win_rate_ci95_high,0.615356157
thompson_black_games,50
thompson_black_wins,20
thompson_black_win_rate,0.4
thompson_white_games,50
thompson_white_wins,23
thompson_white_win_rate,0.46
average_thompson_discs,17.68
average_uct_discs,18.11
average_disc_difference_ts_minus_uct,-0.43
median_disc_difference_ts_minus_uct,-1.5
average_actions_per_game,32.7
median_actions_per_game,32.5
average_passes_per_game,0.91
average_match_runtime_seconds,21.039895244
recorded_match_runtime_seconds,2103.9895244
elapsed_this_session_seconds,2105.5775073
thompson_total_search_seconds,1057.6299636
uct_total_search_seconds,1045.7901911
thompson_total_decisions,1635
uct_total_decisions,1635
thompson_average_seconds_per_decision,0.646868479
uct_average_seconds_per_decision,0.639627028
