game,pair,thompson_colour,uct_colour,outcome,winner_colour,thompson_discs,uct_discs,disc_difference,actions,passes,match_runtime_seconds,thompson_search_seconds,uct_search_seconds,thompson_decisions,uct_decisions,thompson_seconds_per_decision,uct_seconds_per_decision,thompson_seed,uct_seed
1,1,BLACK,WHITE,UCT_WIN,WHITE,6,30,-24,33,1,56.547361,28.368151,28.167829,17,16,1.668715,1.760489,100000,100001
2,1,WHITE,BLACK,UCT_WIN,BLACK,16,20,-4,32,0,60.210432,28.977863,31.220632,16,16,1.811116,1.951289,100001,100000
3,2,BLACK,WHITE,UCT_WIN,WHITE,14,22,-8,33,1,57.715072,30.346362,27.356708,17,16,1.78508,1.709794,100002,100003
4,2,WHITE,BLACK,THOMPSON_WIN,WHITE,31,5,26,34,2,56.661862,27.47997,29.169733,17,17,1.616469,1.715867,100003,100002
5,3,BLACK,WHITE,UCT_WIN,WHITE,8,28,-20,32,0,57.808356,30.028909,27.767769,16,16,1.876807,1.735486,100004,100005
6,3,WHITE,BLACK,UCT_WIN,BLACK,6,30,-24,33,1,55.573065,26.475516,29.086386,16,17,1.65472,1.710964,100005,100004
7,4,BLACK,WHITE,UCT_WIN,WHITE,6,30,-24,34,2,57.977522,30.129116,27.836039,17,17,1.772301,1.637414,100006,100007
8,4,WHITE,BLACK,THOMPSON_WIN,WHITE,23,13,10,32,0,57.39642,27.506609,29.877685,16,16,1.719163,1.867355,100007,100006
9,5,BLACK,WHITE,THOMPSON_WIN,BLACK,28,8,20,33,1,56.751067,29.830872,26.90822,17,16,1.754757,1.681764,100008,100009
10,5,WHITE,BLACK,THOMPSON_WIN,WHITE,23,13,10,32,0,57.122241,27.283899,29.82675,16,16,1.705244,1.864172,100009,100008
11,6,BLACK,WHITE,THOMPSON_WIN,BLACK,19,17,2,32,0,57.571045,30.60702,26.952375,16,16,1.912939,1.684523,100010,100011
12,6,WHITE,BLACK,UCT_WIN,BLACK,6,30,-24,34,2,57.841853,27.828855,29.999686,17,17,1.636991,1.764687,100011,100010
13,7,BLACK,WHITE,THOMPSON_WIN,BLACK,19,17,2,32,0,57.703404,30.382984,27.308249,16,16,1.898936,1.706766,100012,100013
14,7,WHITE,BLACK,DRAW,DRAW,18,18,0,32,0,59.294354,28.581306,30.701281,16,16,1.786332,1.91883,100013,100012
15,8,BLACK,WHITE,UCT_WIN,WHITE,15,21,-6,32,0,57.734087,30.346414,27.375594,16,16,1.896651,1.710975,100014,100015
16,8,WHITE,BLACK,UCT_WIN,BLACK,10,26,-16,33,1,57.983151,28.010055,29.960385,16,17,1.750628,1.762376,100015,100014
17,9,BLACK,WHITE,THOMPSON_WIN,BLACK,23,13,10,33,1,56.507956,29.591452,26.904315,17,16,1.740674,1.68152,100016,100017
18,9,WHITE,BLACK,THOMPSON_WIN,WHITE,21,15,6,32,0,58.313798,28.254883,30.047127,16,16,1.76593,1.877945,100017,100016
19,10,BLACK,WHITE,UCT_WIN,WHITE,12,24,-12,32,0,57.090284,29.889895,27.188598,16,16,1.868118,1.699287,100018,100019
20,10,WHITE,BLACK,DRAW,DRAW,18,18,0,33,1,59.023151,28.775191,30.234793,16,17,1.798449,1.778517,100019,100018
21,11,BLACK,WHITE,UCT_WIN,WHITE,14,22,-8,34,2,58.738568,30.808629,27.917306,17,17,1.812272,1.642194,100020,100021
22,11,WHITE,BLACK,UCT_WIN,BLACK,4,32,-28,35,3,58.831476,28.422304,30.396423,17,18,1.6719,1.68869,100021,100020
23,12,BLACK,WHITE,THOMPSON_WIN,BLACK,25,11,14,32,0,56.188574,29.700806,26.475881,16,16,1.8563,1.654743,100022,100023
24,12,WHITE,BLACK,UCT_WIN,BLACK,17,19,-2,32,0,53.859455,26.159385,27.689124,16,16,1.634962,1.73057,100023,100022
25,13,BLACK,WHITE,THOMPSON_WIN,BLACK,29,7,22,35,3,55.382116,28.722509,26.647461,18,17,1.595695,1.567498,100024,100025
