game,pair,thompson_colour,uct_colour,outcome,winner_colour,thompson_discs,uct_discs,disc_difference,actions,passes,match_runtime_seconds,thompson_search_seconds,uct_search_seconds,thompson_decisions,uct_decisions,thompson_seconds_per_decision,uct_seconds_per_decision,thompson_seed,uct_seed
26,13,WHITE,BLACK,UCT_WIN,BLACK,12,24,-12,36,4,59.291805,28.640355,30.637947,18,18,1.591131,1.702108,100025,100024
27,14,BLACK,WHITE,THOMPSON_WIN,BLACK,25,11,14,34,2,53.348543,28.26886,25.068186,17,17,1.662874,1.474599,100026,100027
28,14,WHITE,BLACK,DRAW,DRAW,18,18,0,32,0,53.312116,25.868846,27.431015,16,16,1.616803,1.714438,100027,100026
29,15,BLACK,WHITE,UCT_WIN,WHITE,11,25,-14,32,0,52.624644,27.573542,25.039836,16,16,1.723346,1.56499,100028,100029
30,15,WHITE,BLACK,THOMPSON_WIN,WHITE,20,16,4,34,2,52.856623,25.52267,27.322706,17,17,1.501334,1.607218,100029,100028
31,16,BLACK,WHITE,UCT_WIN,WHITE,9,27,-18,33,1,54.095094,28.291817,25.792182,17,16,1.664225,1.612011,100030,100031
32,16,WHITE,BLACK,THOMPSON_WIN,WHITE,25,11,14,34,2,52.174504,25.299558,26.864223,17,17,1.488209,1.580248,100031,100030
33,17,BLACK,WHITE,UCT_WIN,WHITE,14,22,-8,32,0,53.086383,27.771146,25.304431,16,16,1.735697,1.581527,100032,100033
34,17,WHITE,BLACK,UCT_WIN,BLACK,6,30,-24,33,1,52.597674,25.364356,27.222625,16,17,1.585272,1.601331,100033,100032
35,18,BLACK,WHITE,UCT_WIN,WHITE,6,30,-24,32,0,53.157184,27.652115,25.49449,16,16,1.728257,1.593406,100034,100035
36,18,WHITE,BLACK,THOMPSON_WIN,WHITE,27,9,18,32,0,53.885382,26.228727,27.645265,16,16,1.639295,1.727829,100035,100034
37,19,BLACK,WHITE,DRAW,DRAW,18,18,0,33,1,60.747434,31.871385,28.862606,17,16,1.874787,1.803913,100036,100037
38,19,WHITE,BLACK,THOMPSON_WIN,WHITE,25,11,14,32,0,59.10811,28.190998,30.904168,16,16,1.761937,1.931511,100037,100036
39,20,BLACK,WHITE,UCT_WIN,WHITE,9,27,-18,32,0,66.858854,35.324613,31.520862,16,16,2.207788,1.970054,100038,100039
40,20,WHITE,BLACK,UCT_WIN,BLACK,16,20,-4,32,0,56.265199,26.112773,30.14091,16,16,1.632048,1.883807,100039,100038
41,21,BLACK,WHITE,DRAW,DRAW,18,18,0,32,0,61.180647,31.824737,29.342894,16,16,1.989046,1.833931,100040,100041
42,21,WHITE,BLACK,UCT_WIN,BLACK,9,27,-18,33,1,59.238245,28.544454,30.681871,16,17,1.784028,1.804816,100041,100040
43,22,BLACK,WHITE,UCT_WIN,WHITE,10,26,-16,32,0,79.893286,43.038475,36.838332,16,16,2.689905,2.302396,100042,100043
44,22,WHITE,BLACK,UCT_WIN,BLACK,13,23,-10,32,0,85.094633,41.261498,43.815182,16,16,2.578844,2.738449,100043,100042
45,23,BLACK,WHITE,UCT_WIN,WHITE,6,30,-24,34,2,86.132108,45.013084,41.101195,17,17,2.647828,2.417717,100044,100045
46,23,WHITE,BLACK,DRAW,DRAW,18,18,0,33,1,88.488276,42.450489,46.016944,16,17,2.653156,2.706879,100045,100044
47,24,BLACK,WHITE,UCT_WIN,WHITE,10,26,-16,32,0,76.689929,41.301717,35.373263,16,16,2.581357,2.210829,100046,100047
48,24,WHITE,BLACK,THOMPSON_WIN,WHITE,25,11,14,32,0,64.562991,31.523976,33.027045,16,16,1.970249,2.06419,100047,100046
49,25,BLACK,WHITE,THOMPSON_WIN,BLACK,23,13,10,32,0,64.630989,34.349564,30.268828,16,16,2.146848,1.891802,100048,100049
50,25,WHITE,BLACK,UCT_WIN,BLACK,16,20,-4,32,0,58.315557,28.14663,30.156039,16,16,1.759164,1.884752,100049,100048
51,26,BLACK,WHITE,UCT_WIN,WHITE,2,34,-32,34,2,60.32895,32.359011,27.956512,17,17,1.903471,1.644501,100050,100051
52,26,WHITE,BLACK,UCT_WIN,BLACK,16,20,-4,32,0,61.937786,30.61452,31.309116,16,16,1.913407,1.95682,100051,100050
53,27,BLACK,WHITE,THOMPSON_WIN,BLACK,20,16,4,32,0,64.336042,33.682087,30.639953,16,16,2.10513,1.914997,100052,100053
54,27,WHITE,BLACK,THOMPSON_WIN,WHITE,30,6,24,36,4,66.927305,32.712337,34.199441,18,18,1.817352,1.899969,100053,100052
55,28,BLACK,WHITE,UCT_WIN,WHITE,8,28,-20,32,0,55.646929,29.119156,26.515319,16,16,1.819947,1.657207,100054,100055
56,28,WHITE,BLACK,UCT_WIN,BLACK,16,20,-4,32,0,56.710452,27.197366,29.501111,16,16,1.699835,1.843819,100055,100054
57,29,BLACK,WHITE,UCT_WIN,WHITE,13,23,-10,32,0,58.523857,30.575463,27.936219,16,16,1.910966,1.746014,100056,100057
58,29,WHITE,BLACK,UCT_WIN,BLACK,14,22,-8,32,0,55.132434,26.486257,28.634734,16,16,1.655391,1.789671,100057,100056
59,30,BLACK,WHITE,THOMPSON_WIN,BLACK,23,13,10,34,2,56.825493,30.408103,26.405683,17,17,1.788712,1.553275,100058,100059
60,30,WHITE,BLACK,UCT_WIN,BLACK,17,18,-1,31,0,54.931406,26.590245,28.329646,15,16,1.772683,1.770603,100059,100058
61,31,BLACK,WHITE,THOMPSON_WIN,BLACK,24,12,12,33,1,56.110193,29.3997,26.698309,17,16,1.729394,1.668644,100060,100061
62,31,WHITE,BLACK,THOMPSON_WIN,WHITE,28,8,20,32,0,68.118579,32.493604,35.610025,16,16,2.03085,2.225627,100061,100060
63,32,BLACK,WHITE,THOMPSON_WIN,BLACK,26,10,16,33,1,71.117199,37.126085,33.97809,17,16,2.183887,2.123631,100062,100063
64,32,WHITE,BLACK,THOMPSON_WIN,WHITE,27,9,18,33,1,60.394723,29.570555,30.811467,16,17,1.84816,1.812439,100063,100062
65,33,BLACK,WHITE,UCT_WIN,WHITE,15,21,-6,32,0,60.081349,31.732081,28.337863,16,16,1.983255,1.771116,100064,100065
66,33,WHITE,BLACK,THOMPSON_WIN,WHITE,22,14,8,32,0,68.273747,32.41779,35.842836,16,16,2.026112,2.240177,100065,100064
67,34,BLACK,WHITE,THOMPSON_WIN,BLACK,20,16,4,32,0,71.743888,37.301946,34.427759,16,16,2.331372,2.151735,100066,100067
68,34,WHITE,BLACK,UCT_WIN,BLACK,15,21,-6,33,1,72.400146,35.150006,37.235368,16,17,2.196875,2.190316,100067,100066
69,35,BLACK,WHITE,THOMPSON_WIN,BLACK,32,4,28,33,1,66.060725,35.43375,30.614276,17,16,2.084338,1.913392,100068,100069
70,35,WHITE,BLACK,UCT_WIN,BLACK,12,24,-12,34,2,57.657401,27.649042,29.995019,17,17,1.626414,1.764413,100069,100068
71,36,BLACK,WHITE,UCT_WIN,WHITE,5,31,-26,32,0,56.000256,29.484507,26.504497,16,16,1.842782,1.656531,100070,100071
72,36,WHITE,BLACK,THOMPSON_WIN,WHITE,21,15,6,33,1,55.852388,26.939569,28.900779,16,17,1.683723,1.700046,100071,100070
73,37,BLACK,WHITE,THOMPSON_WIN,BLACK,22,14,8,32,0,54.990048,28.795972,26.183142,16,16,1.799748,1.636446,100072,100073
74,37,WHITE,BLACK,THOMPSON_WIN,WHITE,35,0,35,34,3,56.086359,27.359464,28.714215,17,17,1.60938,1.689071,100073,100072
75,38,BLACK,WHITE,THOMPSON_WIN,BLACK,31,5,26,33,1,55.185996,29.35133,25.82341,17,16,1.726549,1.613963,100074,100075
76,38,WHITE,BLACK,UCT_WIN,BLACK,10,26,-16,33,1,55.54023,26.838645,28.689835,16,17,1.677415,1.687637,100075,100074
77,39,BLACK,WHITE,UCT_WIN,WHITE,16,20,-4,32,0,55.598669,28.687996,26.899713,16,16,1.793,1.681232,100076,100077
78,39,WHITE,BLACK,UCT_WIN,BLACK,3,33,-30,33,1,54.168518,26.054544,28.102637,16,17,1.628409,1.653096,100077,100076
79,40,BLACK,WHITE,THOMPSON_WIN,BLACK,25,11,14,33,1,55.026221,28.73665,26.278924,17,16,1.690391,1.642433,100078,100079
80,40,WHITE,BLACK,THOMPSON_WIN,WHITE,23,13,10,34,2,60.890305,29.140025,31.737147,17,17,1.714119,1.866891,100079,100078
81,41,BLACK,WHITE,THOMPSON_WIN,BLACK,24,12,12,34,2,64.00137,32.889387,31.098402,17,17,1.93467,1.829318,100080,100081
82,41,WHITE,BLACK,UCT_WIN,BLACK,9,27,-18,33,1,58.981418,28.398449,30.570536,16,17,1.774903,1.798267,100081,100080
83,42,BLACK,WHITE,UCT_WIN,WHITE,12,23,-11,31,0,64.824549,33.776025,31.033588,16,15,2.111002,2.068906,100082,100083
84,42,WHITE,BLACK,UCT_WIN,BLACK,11,25,-14,32,0,59.566467,28.338942,31.215919,16,16,1.771184,1.950995,100083,100082
85,43,BLACK,WHITE,UCT_WIN,WHITE,17,19,-2,32,0,55.658155,28.930011,26.715081,16,16,1.808126,1.669693,100084,100085
86,43,WHITE,BLACK,UCT_WIN,BLACK,1,35,-34,33,1,61.107267,29.96231,31.133394,16,17,1.872644,1.831376,100085,100084
87,44,BLACK,WHITE,THOMPSON_WIN,BLACK,27,9,18,33,1,70.992479,36.601315,34.374373,17,16,2.153019,2.148398,100086,100087
88,44,WHITE,BLACK,THOMPSON_WIN,WHITE,23,13,10,33,1,59.547844,28.504545,31.030625,16,17,1.781534,1.825331,100087,100086
89,45,BLACK,WHITE,THOMPSON_WIN,BLACK,22,14,8,32,0,56.249729,30.023989,26.213992,16,16,1.876499,1.638375,100088,100089
90,45,WHITE,BLACK,UCT_WIN,BLACK,14,22,-8,32,0,65.486158,31.863399,33.606838,16,16,1.991462,2.100427,100089,100088
91,46,BLACK,WHITE,UCT_WIN,WHITE,15,21,-6,32,0,62.730254,33.287311,29.42946,16,16,2.080457,1.839341,100090,100091
92,46,WHITE,BLACK,UCT_WIN,BLACK,17,19,-2,33,1,63.545064,30.749144,32.782575,16,17,1.921821,1.928387,100091,100090
93,47,BLACK,WHITE,UCT_WIN,WHITE,13,23,-10,34,2,73.695852,37.931193,35.75018,17,17,2.231247,2.102952,100092,100093
94,47,WHITE,BLACK,UCT_WIN,BLACK,7,29,-22,35,3,78.096939,38.258993,39.822245,17,18,2.250529,2.212347,100093,100092
95,48,BLACK,WHITE,UCT_WIN,WHITE,13,23,-10,32,0,71.069047,37.892712,33.162222,16,16,2.368294,2.072639,100094,100095
96,48,WHITE,BLACK,UCT_WIN,BLACK,12,24,-12,32,0,74.497174,35.499421,38.982365,16,16,2.218714,2.436398,100095,100094
97,49,BLACK,WHITE,THOMPSON_WIN,BLACK,23,13,10,33,1,53.573928,28.885966,24.678144,17,16,1.699174,1.542384,100096,100097
98,49,WHITE,BLACK,THOMPSON_WIN,WHITE,23,13,10,35,3,42.343728,20.688371,21.645006,17,18,1.216963,1.2025,100097,100096
99,50,BLACK,WHITE,UCT_WIN,WHITE,7,29,-22,34,2,55.680213,29.19761,26.471114,17,17,1.717506,1.557124,100098,100099
100,50,WHITE,BLACK,UCT_WIN,BLACK,12,24,-12,33,1,59.240573,28.912506,30.315503,16,17,1.807032,1.783265,100099,100098
