metric,value
experiment_name,08_classical_thompson_vs_classical_uct
board_rows,6
board_cols,6
simulations_per_move,400
total_games,100
seed_start,100000
thompson_alpha_prior,2.0
thompson_beta_prior,1.0
uct_exploration_constant,0.5
thompson_wins,39
uct_wins,55
draws,6
thompson_win_rate,0.39
thompson_score_rate,0.42
thompson_win_rate_ci95_low,0.300167
thompson_win_rate_ci95_high,0.487972
thompson_black_games,50
thompson_black_wins,21
thompson_black_win_rate,0.42
thompson_black_ci95_low,0.293748
thompson_black_ci95_high,0.557668
thompson_white_games,50
thompson_white_wins,18
thompson_white_win_rate,0.36
thompson_white_ci95_low,0.241386
thompson_white_ci95_high,0.498592
average_thompson_discs,16.73
average_uct_discs,19.24
average_disc_difference,-2.51
median_disc_difference,-4.0
average_actions_per_game,32.79
median_actions_per_game,33.0
average_passes_per_game,0.82
average_match_runtime_seconds,60.469487
total_experiment_runtime_seconds,6046.962037
thompson_total_search_seconds,3047.944741
uct_total_search_seconds,2997.734005
thompson_total_decisions,1637
uct_total_decisions,1642
thompson_average_seconds_per_decision,1.861909
uct_average_seconds_per_decision,1.82566
