game_index	seed	status	tested_agent_side	opponent_side	winner	outcome_for_tested_agent	moves_played	runtime_seconds	seconds_per_move	tested_agent_selection_policy	tested_agent_rollout_policy	tested_agent_use_tactical_guard	tested_agent_use_heuristic_expansion	error_message
51	50	ok	X	O	O	loss	8	30.332632	3.791579	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
52	51	ok	O	X	O	win	16	36.055151	2.253447	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
53	52	ok	X	O	X	win	13	52.713191	4.054861	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
54	53	ok	O	X	O	win	18	82.670259	4.592792	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
55	54	ok	X	O	X	win	29	101.093815	3.485994	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
56	55	ok	O	X	O	win	20	32.444800	1.622240	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
57	56	ok	X	O	X	win	25	103.557208	4.142288	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
58	57	ok	O	X	X	loss	7	38.320312	5.474330	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
59	58	ok	X	O	X	win	13	66.491625	5.114740	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
60	59	ok	O	X	O	win	20	44.046637	2.202332	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
61	60	ok	X	O	O	loss	8	32.338192	4.042274	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
62	61	ok	O	X	O	win	12	28.772953	2.397746	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
63	62	ok	X	O	O	loss	8	33.034587	4.129323	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
64	63	ok	O	X	O	win	16	37.635255	2.352203	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
65	64	ok	X	O	O	loss	14	41.423500	2.958821	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
66	65	ok	O	X	X	loss	7	18.247808	2.606830	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
67	66	ok	X	O	O	loss	8	30.377289	3.797161	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
68	67	ok	O	X	X	loss	7	17.970402	2.567200	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
69	68	ok	X	O	X	win	13	43.134048	3.318004	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
70	69	ok	O	X	O	win	16	36.228848	2.264303	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
71	70	ok	X	O	O	loss	8	31.799373	3.974922	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
72	71	ok	O	X	O	win	14	30.931635	2.209402	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
