game_index	seed	status	tested_agent_side	opponent_side	winner	outcome_for_tested_agent	moves_played	runtime_seconds	seconds_per_move	tested_agent_selection_policy	tested_agent_rollout_policy	tested_agent_use_tactical_guard	tested_agent_use_heuristic_expansion	error_message
53	52	ok	X	O	X	win	21	46.801722	2.228653	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
54	53	ok	O	X	O	win	12	24.233504	2.019459	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
55	54	ok	X	O	X	win	13	33.675950	2.590458	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
56	55	ok	O	X	X	loss	17	34.581451	2.034203	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
57	56	ok	X	O	X	win	17	38.361894	2.256582	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
58	57	ok	O	X	O	win	16	31.895829	1.993489	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
59	58	ok	X	O	X	win	17	37.851045	2.226532	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
60	59	ok	O	X	O	win	14	27.882336	1.991595	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
61	60	ok	X	O	X	win	13	33.199353	2.553796	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
62	61	ok	O	X	O	win	20	28.742918	1.437146	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
63	62	ok	X	O	X	win	13	33.186515	2.552809	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
64	63	ok	O	X	O	win	14	26.586534	1.899038	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
65	64	ok	X	O	X	win	13	33.274294	2.559561	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
66	65	ok	O	X	O	win	16	29.323598	1.832725	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
67	66	ok	X	O	X	win	11	28.436338	2.585122	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
68	67	ok	O	X	O	win	14	27.568091	1.969149	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
69	68	ok	X	O	X	win	25	55.205826	2.208233	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
70	69	ok	O	X	O	win	16	31.580557	1.973785	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
71	70	ok	X	O	X	win	13	34.465024	2.651156	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
72	71	ok	O	X	O	win	14	27.446272	1.960448	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
73	72	ok	X	O	X	win	21	45.026650	2.144126	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
74	73	ok	O	X	O	win	14	26.825684	1.916120	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
75	74	ok	X	O	X	win	13	32.397667	2.492128	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
76	75	ok	O	X	O	win	14	26.428029	1.887716	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
77	76	ok	X	O	X	win	21	43.615148	2.076912	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
78	77	ok	O	X	O	win	12	23.315300	1.942942	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
79	78	ok	X	O	X	win	13	32.540266	2.503097	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
