status	experiment_name	comparison_file	game_index	seed	board_rows	board_cols	win_length	tested_agent_name	opponent_name	tested_agent_side	opponent_side	agent_x_name	agent_o_name	winner	outcome_for_tested_agent	moves_played	runtime_seconds	seconds_per_move	timestamp_start	timestamp_end	tested_agent_simulations	tested_agent_selection_policy	tested_agent_rollout_policy	tested_agent_use_tactical_guard	tested_agent_use_heuristic_expansion	opponent_simulations	opponent_selection_policy	opponent_rollout_policy	opponent_use_tactical_guard	opponent_use_heuristic_expansion	error_message
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	10	9	7	7	4	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	O	X	TacticalAgent	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	O	win	14	28.850193	2.060728	2026-07-21T18:15:54	2026-07-21T18:16:23	500	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	11	10	7	7	4	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	O	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	win	11	31.814953	2.892268	2026-07-21T18:16:23	2026-07-21T18:16:55	500	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	12	11	7	7	4	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	O	X	TacticalAgent	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	X	loss	17	34.482463	2.028380	2026-07-21T18:16:55	2026-07-21T18:17:29	500	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	13	12	7	7	4	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	O	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	win	17	38.468822	2.262872	2026-07-21T18:17:29	2026-07-21T18:18:08	500	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	14	13	7	7	4	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	O	X	TacticalAgent	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	O	win	14	26.196618	1.871187	2026-07-21T18:18:08	2026-07-21T18:18:34	500	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	15	14	7	7	4	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	O	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	win	17	39.428685	2.319334	2026-07-21T18:18:34	2026-07-21T18:19:13	500	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	16	15	7	7	4	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	O	X	TacticalAgent	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	O	win	16	32.322782	2.020174	2026-07-21T18:19:13	2026-07-21T18:19:46	500	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	17	16	7	7	4	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	O	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	win	13	35.540876	2.733914	2026-07-21T18:19:46	2026-07-21T18:20:21	500	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	18	17	7	7	4	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	O	X	TacticalAgent	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	O	win	14	29.264355	2.090311	2026-07-21T18:20:21	2026-07-21T18:20:50	500	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
ok	04_enhanced_thompson_vs_tactical	C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\04_enhanced_thompson_vs_tactical.py	19	18	7	7	4	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	O	MCTSAgent(sim=500, selection=ThompsonSamplingSelectionPolicy, rollout=TacticalAgent, guard=True, heuristic_expansion=True)	TacticalAgent	X	win	25	62.067482	2.482699	2026-07-21T18:20:50	2026-07-21T18:21:52	500	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True						
