game_index	seed	status	tested_agent_side	opponent_side	winner	outcome_for_tested_agent	moves_played	runtime_seconds	seconds_per_move	tested_agent_selection_policy	tested_agent_rollout_policy	tested_agent_use_tactical_guard	tested_agent_use_heuristic_expansion	error_message
60	59	ok	O	X	X	loss	7	2.771138	0.395877	UCTSelectionPolicy	RandomAgent	False	False	
61	60	ok	X	O	O	loss	8	3.810704	0.476338	UCTSelectionPolicy	RandomAgent	False	False	
62	61	ok	O	X	X	loss	7	2.851285	0.407326	UCTSelectionPolicy	RandomAgent	False	False	
63	62	ok	X	O	O	loss	10	4.632528	0.463253	UCTSelectionPolicy	RandomAgent	False	False	
64	63	ok	O	X	X	loss	11	4.333404	0.393946	UCTSelectionPolicy	RandomAgent	False	False	
65	64	ok	X	O	O	loss	12	5.387707	0.448976	UCTSelectionPolicy	RandomAgent	False	False	
66	65	ok	O	X	X	loss	7	2.763327	0.394761	UCTSelectionPolicy	RandomAgent	False	False	
67	66	ok	X	O	O	loss	8	3.822695	0.477837	UCTSelectionPolicy	RandomAgent	False	False	
68	67	ok	O	X	X	loss	7	2.811396	0.401628	UCTSelectionPolicy	RandomAgent	False	False	
69	68	ok	X	O	O	loss	14	6.249666	0.446405	UCTSelectionPolicy	RandomAgent	False	False	
70	69	ok	O	X	X	loss	7	2.831570	0.404510	UCTSelectionPolicy	RandomAgent	False	False	
71	70	ok	X	O	O	loss	8	3.805011	0.475626	UCTSelectionPolicy	RandomAgent	False	False	
72	71	ok	O	X	X	loss	7	2.823160	0.403309	UCTSelectionPolicy	RandomAgent	False	False	
73	72	ok	X	O	O	loss	10	4.708238	0.470824	UCTSelectionPolicy	RandomAgent	False	False	
74	73	ok	O	X	X	loss	7	2.890362	0.412909	UCTSelectionPolicy	RandomAgent	False	False	
75	74	ok	X	O	O	loss	8	3.979212	0.497402	UCTSelectionPolicy	RandomAgent	False	False	
76	75	ok	O	X	X	loss	7	2.830245	0.404321	UCTSelectionPolicy	RandomAgent	False	False	
77	76	ok	X	O	O	loss	14	5.883236	0.420231	UCTSelectionPolicy	RandomAgent	False	False	
78	77	ok	O	X	X	loss	9	3.529645	0.392183	UCTSelectionPolicy	RandomAgent	False	False	
79	78	ok	X	O	O	loss	8	3.942030	0.492754	UCTSelectionPolicy	RandomAgent	False	False	
80	79	ok	O	X	X	loss	7	3.108303	0.444043	UCTSelectionPolicy	RandomAgent	False	False	
81	80	ok	X	O	O	loss	8	3.930458	0.491307	UCTSelectionPolicy	RandomAgent	False	False	
82	81	ok	O	X	X	loss	7	3.252556	0.464651	UCTSelectionPolicy	RandomAgent	False	False	
83	82	ok	X	O	O	loss	12	6.034492	0.502874	UCTSelectionPolicy	RandomAgent	False	False	
84	83	ok	O	X	X	loss	7	2.996411	0.428059	UCTSelectionPolicy	RandomAgent	False	False	
85	84	ok	X	O	O	loss	10	4.865680	0.486568	UCTSelectionPolicy	RandomAgent	False	False	
86	85	ok	O	X	X	loss	7	2.953147	0.421878	UCTSelectionPolicy	RandomAgent	False	False	
87	86	ok	X	O	O	loss	8	3.702309	0.462789	UCTSelectionPolicy	RandomAgent	False	False	
88	87	ok	O	X	X	loss	7	2.843236	0.406177	UCTSelectionPolicy	RandomAgent	False	False	
89	88	ok	X	O	O	loss	8	4.245374	0.530672	UCTSelectionPolicy	RandomAgent	False	False	
90	89	ok	O	X	X	loss	11	5.625547	0.511413	UCTSelectionPolicy	RandomAgent	False	False	
91	90	ok	X	O	O	loss	12	6.331622	0.527635	UCTSelectionPolicy	RandomAgent	False	False	
92	91	ok	O	X	X	loss	7	3.266920	0.466703	UCTSelectionPolicy	RandomAgent	False	False	
93	92	ok	X	O	O	loss	8	4.370997	0.546375	UCTSelectionPolicy	RandomAgent	False	False	
94	93	ok	O	X	X	loss	7	3.021573	0.431653	UCTSelectionPolicy	RandomAgent	False	False	
95	94	ok	X	O	O	loss	8	4.053573	0.506697	UCTSelectionPolicy	RandomAgent	False	False	
96	95	ok	O	X	X	loss	9	4.026501	0.447389	UCTSelectionPolicy	RandomAgent	False	False	
97	96	ok	X	O	O	loss	8	4.260334	0.532542	UCTSelectionPolicy	RandomAgent	False	False	
98	97	ok	O	X	X	loss	7	3.002989	0.428998	UCTSelectionPolicy	RandomAgent	False	False	
99	98	ok	X	O	O	loss	8	4.428754	0.553594	UCTSelectionPolicy	RandomAgent	False	False	
100	99	ok	O	X	X	loss	7	3.011212	0.430173	UCTSelectionPolicy	RandomAgent	False	False	
