experiment_name,game,pair,thompson_colour,uct_colour,outcome,winner_colour,thompson_discs,uct_discs,disc_difference,actions,passes,match_runtime_seconds,thompson_search_seconds,uct_search_seconds,thompson_decisions,uct_decisions,thompson_seconds_per_decision,uct_seconds_per_decision,thompson_seed,uct_seed,board_rows,board_cols,simulations,thompson_alpha_prior,thompson_beta_prior,uct_exploration_constant,uct_progressive_bias_weight,rollout_epsilon,expansion_epsilon,rollout_depth_limit,guided_expansion,heuristic_rollouts,root_safety,root_lookahead,heuristic_cutoff
11_enhanced_thompson_vs_enhanced_uct,1,1,BLACK,WHITE,UCT_WIN,WHITE,5,31,-26,32,0,117.8110576,61.0145405,56.7870015,16,16,3.813408781,3.549187594,100000,100001,6,6,400,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,2,1,WHITE,BLACK,THOMPSON_WIN,WHITE,23,13,10,32,0,149.0470154,70.9275296,78.1083519,16,16,4.4329706,4.881771994,100001,100000,6,6,400,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,3,2,BLACK,WHITE,UCT_WIN,WHITE,10,26,-16,33,1,185.9449116,98.6872152,87.2441594,17,16,5.805130306,5.452759962,100002,100003,6,6,400,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,4,2,WHITE,BLACK,UCT_WIN,BLACK,15,21,-6,32,0,122.3850491,55.3939174,66.982453,16,16,3.462119838,4.186403313,100003,100002,6,6,400,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,5,3,BLACK,WHITE,UCT_WIN,WHITE,15,21,-6,32,0,178.7788506,92.6551691,86.1118803,16,16,5.790948069,5.381992519,100004,100005,6,6,400,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,6,3,WHITE,BLACK,THOMPSON_WIN,WHITE,20,16,4,34,2,150.792725,73.7125423,77.0697959,17,17,4.3360319,4.533517406,100005,100004,6,6,400,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,7,4,BLACK,WHITE,UCT_WIN,WHITE,12,24,-12,34,2,135.4289276,70.5474766,64.8717622,17,17,4.149851565,3.815986012,100006,100007,6,6,400,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,8,4,WHITE,BLACK,UCT_WIN,BLACK,11,25,-14,32,0,78.363114,38.4001778,39.9573215,16,16,2.400011113,2.497332594,100007,100006,6,6,400,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,9,5,BLACK,WHITE,UCT_WIN,WHITE,15,21,-6,33,1,74.6612535,39.264518,35.3909782,17,16,2.309677529,2.211936138,100008,100009,6,6,400,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,10,5,WHITE,BLACK,UCT_WIN,BLACK,15,21,-6,32,0,75.7138188,36.9981971,38.7099882,16,16,2.312387319,2.419374263,100009,100008,6,6,400,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,11,6,BLACK,WHITE,UCT_WIN,WHITE,13,23,-10,34,2,84.4842468,44.0248096,40.4531434,17,17,2.589694682,2.379596671,100010,100011,6,6,400,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,12,6,WHITE,BLACK,UCT_WIN,BLACK,7,29,-22,33,1,82.0921209,39.8306321,42.2557567,16,17,2.489414506,2.485632747,100011,100010,6,6,400,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,13,7,BLACK,WHITE,UCT_WIN,WHITE,9,27,-18,34,2,83.0558278,44.0874355,38.9622412,17,17,2.593378559,2.291896541,100012,100013,6,6,400,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,14,7,WHITE,BLACK,THOMPSON_WIN,WHITE,21,15,6,32,0,83.9617335,40.5241934,43.4309554,16,16,2.532762087,2.714434712,100013,100012,6,6,400,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
